"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadContigStripData","fprintf","/src/libtiff/tools/tiffinfo.c","/usr/include/x86_64-linux-gnu/bits/stdio2.h",317,357,98,98,"TIFFReadContigStripData(TIFF *) -> void","TIFF * tif","void","void","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __fmt","int","int"
"TIFFReadContigStripData","TIFFGetField","/src/libtiff/tools/tiffinfo.c","/src/libtiff/libtiff/tif_dir.c",317,357,1581,1581,"TIFFReadContigStripData(TIFF *) -> void","TIFF * tif","void","void","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"TIFFReadContigStripData","_TIFFmalloc","/src/libtiff/tools/tiffinfo.c","/src/libtiff/libtiff/tif_unix.c",317,357,329,329,"TIFFReadContigStripData(TIFF *) -> void","TIFF * tif","void","void","_TIFFmalloc(tmsize_t) -> void *","tmsize_t s","void *","void *"
"TIFFReadContigStripData","_TIFFfree","/src/libtiff/tools/tiffinfo.c","/src/libtiff/libtiff/tif_unix.c",317,357,345,345,"TIFFReadContigStripData(TIFF *) -> void","TIFF * tif","void","void","_TIFFfree(void *) -> void","void * p","void","void"
"TIFFReadContigStripData","TIFFStripSize","/src/libtiff/tools/tiffinfo.c","/src/libtiff/libtiff/tif_strip.c",317,357,203,203,"TIFFReadContigStripData(TIFF *) -> void","TIFF * tif","void","void","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"TIFFReadContigStripData","TIFFStripSize","/src/libtiff/tools/tiffinfo.c","/src/libtiff/libtiff/tif_strip.c",317,357,203,203,"TIFFReadContigStripData(TIFF *) -> void","TIFF * tif","void","void","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"TIFFReadContigStripData","TIFFReadEncodedStrip","/src/libtiff/tools/tiffinfo.c","/src/libtiff/libtiff/tif_read.c",317,357,525,525,"TIFFReadContigStripData(TIFF *) -> void","TIFF * tif","void","void","TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long"
"TIFFReadContigStripData","TIFFReadEncodedStrip","/src/libtiff/tools/tiffinfo.c","/src/libtiff/libtiff/tif_read.c",317,357,525,525,"TIFFReadContigStripData(TIFF *) -> void","TIFF * tif","void","void","TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long"
"TIFFReadContigStripData","TIFFComputeStrip","/src/libtiff/tools/tiffinfo.c","/src/libtiff/libtiff/tif_strip.c",317,357,35,35,"TIFFReadContigStripData(TIFF *) -> void","TIFF * tif","void","void","TIFFComputeStrip(TIFF *, uint32_t, uint16_t) -> uint32_t","TIFF * tif, uint32_t row, uint16_t sample","uint32_t","unsigned int"
"TIFFReadContigStripData","TIFFScanlineSize","/src/libtiff/tools/tiffinfo.c","/src/libtiff/libtiff/tif_strip.c",317,357,342,342,"TIFFReadContigStripData(TIFF *) -> void","TIFF * tif","void","void","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"TIFFReadContigStripData","TIFFScanlineSize","/src/libtiff/tools/tiffinfo.c","/src/libtiff/libtiff/tif_strip.c",317,357,342,342,"TIFFReadContigStripData(TIFF *) -> void","TIFF * tif","void","void","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"TIFFReadContigStripData","ShowStrip","/src/libtiff/tools/tiffinfo.c","/src/libtiff/tools/tiffinfo.c",317,357,298,298,"TIFFReadContigStripData(TIFF *) -> void","TIFF * tif","void","void","ShowStrip(tstrip_t, unsigned char *, uint32_t, tsize_t) -> void","tstrip_t strip, unsigned char * pp, uint32_t nrow, tsize_t scanline","void","void"
