"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cpStrips","TIFFGetField","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_dir.c",341,375,1581,1581,"cpStrips(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"cpStrips","TIFFFileName","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_open.c",341,375,788,788,"cpStrips(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"cpStrips","_TIFFmalloc","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_unix.c",341,375,329,329,"cpStrips(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","_TIFFmalloc(tmsize_t) -> void *","tmsize_t s","void *","void *"
"cpStrips","_TIFFfree","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_unix.c",341,375,345,345,"cpStrips(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","_TIFFfree(void *) -> void","void * p","void","void"
"cpStrips","TIFFStripSize","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_strip.c",341,375,203,203,"cpStrips(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"cpStrips","TIFFStripSize","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_strip.c",341,375,203,203,"cpStrips(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"cpStrips","TIFFWriteRawStrip","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_write.c",341,375,328,328,"cpStrips(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFWriteRawStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long"
"cpStrips","TIFFWriteRawStrip","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_write.c",341,375,328,328,"cpStrips(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFWriteRawStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long"
"cpStrips","TIFFReadRawStrip","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_read.c",341,375,705,705,"cpStrips(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFReadRawStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long"
"cpStrips","TIFFReadRawStrip","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_read.c",341,375,705,705,"cpStrips(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFReadRawStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long"
