"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"main","ferror","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",318,569,761,761,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","ferror(FILE *) -> int","FILE * __stream","int","int"
"main","puts","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",318,569,632,632,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","puts(const char *) -> int","const char * __s","int","int"
"main","sscanf","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",318,569,399,399,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","sscanf(const char *__restrict__, const char *__restrict__) -> int","const char *__restrict__ __s, const char *__restrict__ __format","int","int"
"main","sscanf","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",318,569,412,412,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","sscanf(const char *__restrict__, const char *__restrict__) -> int","const char *__restrict__ __s, const char *__restrict__ __format","int","int"
"main","sscanf","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",318,569,399,399,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","sscanf(const char *__restrict__, const char *__restrict__) -> int","const char *__restrict__ __s, const char *__restrict__ __format","int","int"
"main","sscanf","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",318,569,412,412,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","sscanf(const char *__restrict__, const char *__restrict__) -> int","const char *__restrict__ __s, const char *__restrict__ __format","int","int"
"main","printf","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",318,569,332,332,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","printf(const char *__restrict__) -> int","const char *__restrict__ __format","int","int"
"main","fprintf","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",318,569,326,326,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __format","int","int"
"main","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",318,569,246,246,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"main","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",318,569,246,246,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
