"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"open_input_file","fseek","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,684,684,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fseek(FILE *, long, int) -> int","FILE * __stream, long __off, int __whence","int","int"
"open_input_file","fread","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,646,646,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fread(void *__restrict__, size_t, size_t, FILE *__restrict__) -> size_t","void *__restrict__ __ptr, size_t __size, size_t __n, FILE *__restrict__ __stream","size_t","unsigned long"
"open_input_file","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,246,246,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"open_input_file","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,246,246,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"open_input_file","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,246,246,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"open_input_file","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,246,246,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"open_input_file","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,257,257,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"open_input_file","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,257,257,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"open_input_file","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,257,257,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"open_input_file","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,257,257,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"open_input_file","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,246,246,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"open_input_file","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,246,246,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"open_input_file","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,246,246,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"open_input_file","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,246,246,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"open_input_file","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,257,257,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"open_input_file","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,257,257,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"open_input_file","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,257,257,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"open_input_file","fopen","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdio.h",108,142,257,257,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"open_input_file","malloc","/src/libvpx/tools/tiny_ssim.c","/usr/include/stdlib.h",108,142,539,539,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","malloc(size_t) -> void *","size_t __size","void *","void *"
"open_input_file","memset","/src/libvpx/tools/tiny_ssim.c","/usr/include/string.h",108,142,61,61,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"open_input_file","strcmp","/src/libvpx/tools/tiny_ssim.c","/usr/include/string.h",108,142,137,137,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","strcmp(const char *, const char *) -> int","const char * __s1, const char * __s2","int","int"
"open_input_file","memcmp","/src/libvpx/tools/tiny_ssim.c","/usr/include/string.h",108,142,64,64,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","memcmp(const void *, const void *, size_t) -> int","const void * __s1, const void * __s2, size_t __n","int","int"
"open_input_file","y4m_input_open","/src/libvpx/tools/tiny_ssim.c","/src/libvpx/y4minput.c",108,142,832,832,"open_input_file(const char *, input_file_t *, int, int, int) -> int","const char * file_name, input_file_t * input, int w, int h, int bit_depth","int","int","y4m_input_open(y4m_input *, FILE *, char *, int, int) -> int","y4m_input * y4m_ctx, FILE * file, char * skip_buffer, int num_skip, int only_420","int","int"
