"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"vp8_build_inter16x16_predictors_mb","vp8_sixtap_predict8x8_ssse3","/src/libvpx/vp8/common/reconinter.c","/src/libvpx/vp8/common/x86/vp8_asm_stubs.c",300,357,266,266,"vp8_build_inter16x16_predictors_mb(MACROBLOCKD *, unsigned char *, unsigned char *, unsigned char *, int, int) -> void","MACROBLOCKD * x, unsigned char * dst_y, unsigned char * dst_u, unsigned char * dst_v, int dst_ystride, int dst_uvstride","void","void","vp8_sixtap_predict8x8_ssse3(unsigned char *, int, int, int, unsigned char *, int) -> void","unsigned char * src_ptr, int src_pixels_per_line, int xoffset, int yoffset, unsigned char * dst_ptr, int dst_pitch","void","void"
"vp8_build_inter16x16_predictors_mb","vp8_sixtap_predict8x8_sse2","/src/libvpx/vp8/common/reconinter.c","/src/libvpx/vp8/common/x86/vp8_asm_stubs.c",300,357,127,127,"vp8_build_inter16x16_predictors_mb(MACROBLOCKD *, unsigned char *, unsigned char *, unsigned char *, int, int) -> void","MACROBLOCKD * x, unsigned char * dst_y, unsigned char * dst_u, unsigned char * dst_v, int dst_ystride, int dst_uvstride","void","void","vp8_sixtap_predict8x8_sse2(unsigned char *, int, int, int, unsigned char *, int) -> void","unsigned char * src_ptr, int src_pixels_per_line, int xoffset, int yoffset, unsigned char * dst_ptr, int dst_pitch","void","void"
"vp8_build_inter16x16_predictors_mb","vp8_sixtap_predict16x16_ssse3","/src/libvpx/vp8/common/reconinter.c","/src/libvpx/vp8/common/x86/vp8_asm_stubs.c",300,357,233,233,"vp8_build_inter16x16_predictors_mb(MACROBLOCKD *, unsigned char *, unsigned char *, unsigned char *, int, int) -> void","MACROBLOCKD * x, unsigned char * dst_y, unsigned char * dst_u, unsigned char * dst_v, int dst_ystride, int dst_uvstride","void","void","vp8_sixtap_predict16x16_ssse3(unsigned char *, int, int, int, unsigned char *, int) -> void","unsigned char * src_ptr, int src_pixels_per_line, int xoffset, int yoffset, unsigned char * dst_ptr, int dst_pitch","void","void"
"vp8_build_inter16x16_predictors_mb","vp8_sixtap_predict16x16_sse2","/src/libvpx/vp8/common/reconinter.c","/src/libvpx/vp8/common/x86/vp8_asm_stubs.c",300,357,94,94,"vp8_build_inter16x16_predictors_mb(MACROBLOCKD *, unsigned char *, unsigned char *, unsigned char *, int, int) -> void","MACROBLOCKD * x, unsigned char * dst_y, unsigned char * dst_u, unsigned char * dst_v, int dst_ystride, int dst_uvstride","void","void","vp8_sixtap_predict16x16_sse2(unsigned char *, int, int, int, unsigned char *, int) -> void","unsigned char * src_ptr, int src_pixels_per_line, int xoffset, int yoffset, unsigned char * dst_ptr, int dst_pitch","void","void"
"vp8_build_inter16x16_predictors_mb","vp8_copy_mem8x8_mmx","/src/libvpx/vp8/common/reconinter.c","/work/build/vp8_rtcd.h",300,357,67,67,"vp8_build_inter16x16_predictors_mb(MACROBLOCKD *, unsigned char *, unsigned char *, unsigned char *, int, int) -> void","MACROBLOCKD * x, unsigned char * dst_y, unsigned char * dst_u, unsigned char * dst_v, int dst_ystride, int dst_uvstride","void","void","vp8_copy_mem8x8_mmx(unsigned char *, int, unsigned char *, int) -> void","unsigned char * src, int src_stride, unsigned char * dst, int dst_stride","void","void"
"vp8_build_inter16x16_predictors_mb","vp8_copy_mem16x16_sse2","/src/libvpx/vp8/common/reconinter.c","/work/build/vp8_rtcd.h",300,357,59,59,"vp8_build_inter16x16_predictors_mb(MACROBLOCKD *, unsigned char *, unsigned char *, unsigned char *, int, int) -> void","MACROBLOCKD * x, unsigned char * dst_y, unsigned char * dst_u, unsigned char * dst_v, int dst_ystride, int dst_uvstride","void","void","vp8_copy_mem16x16_sse2(unsigned char *, int, unsigned char *, int) -> void","unsigned char * src, int src_stride, unsigned char * dst, int dst_stride","void","void"
"vp8_build_inter16x16_predictors_mb","vp8_bilinear_predict8x8_ssse3","/src/libvpx/vp8/common/reconinter.c","/work/build/vp8_rtcd.h",300,357,55,55,"vp8_build_inter16x16_predictors_mb(MACROBLOCKD *, unsigned char *, unsigned char *, unsigned char *, int, int) -> void","MACROBLOCKD * x, unsigned char * dst_y, unsigned char * dst_u, unsigned char * dst_v, int dst_ystride, int dst_uvstride","void","void","vp8_bilinear_predict8x8_ssse3(unsigned char *, int, int, int, unsigned char *, int) -> void","unsigned char * src_ptr, int src_pixels_per_line, int xoffset, int yoffset, unsigned char * dst_ptr, int dst_pitch","void","void"
"vp8_build_inter16x16_predictors_mb","vp8_bilinear_predict8x8_sse2","/src/libvpx/vp8/common/reconinter.c","/src/libvpx/vp8/common/x86/bilinear_filter_sse2.c",300,357,222,222,"vp8_build_inter16x16_predictors_mb(MACROBLOCKD *, unsigned char *, unsigned char *, unsigned char *, int, int) -> void","MACROBLOCKD * x, unsigned char * dst_y, unsigned char * dst_u, unsigned char * dst_v, int dst_ystride, int dst_uvstride","void","void","vp8_bilinear_predict8x8_sse2(uint8_t *, unsigned char *, int, int, int, uint8_t *, unsigned char *, int) -> void","uint8_t * src_ptr, int src_pixels_per_line, int xoffset, int yoffset, uint8_t * dst_ptr, int dst_pitch","void","void"
"vp8_build_inter16x16_predictors_mb","vp8_bilinear_predict16x16_ssse3","/src/libvpx/vp8/common/reconinter.c","/work/build/vp8_rtcd.h",300,357,42,42,"vp8_build_inter16x16_predictors_mb(MACROBLOCKD *, unsigned char *, unsigned char *, unsigned char *, int, int) -> void","MACROBLOCKD * x, unsigned char * dst_y, unsigned char * dst_u, unsigned char * dst_v, int dst_ystride, int dst_uvstride","void","void","vp8_bilinear_predict16x16_ssse3(unsigned char *, int, int, int, unsigned char *, int) -> void","unsigned char * src_ptr, int src_pixels_per_line, int xoffset, int yoffset, unsigned char * dst_ptr, int dst_pitch","void","void"
"vp8_build_inter16x16_predictors_mb","vp8_bilinear_predict16x16_sse2","/src/libvpx/vp8/common/reconinter.c","/src/libvpx/vp8/common/x86/bilinear_filter_sse2.c",300,357,131,131,"vp8_build_inter16x16_predictors_mb(MACROBLOCKD *, unsigned char *, unsigned char *, unsigned char *, int, int) -> void","MACROBLOCKD * x, unsigned char * dst_y, unsigned char * dst_u, unsigned char * dst_v, int dst_ystride, int dst_uvstride","void","void","vp8_bilinear_predict16x16_sse2(uint8_t *, unsigned char *, int, int, int, uint8_t *, unsigned char *, int) -> void","uint8_t * src_ptr, int src_pixels_per_line, int xoffset, int yoffset, uint8_t * dst_ptr, int dst_pitch","void","void"
