"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"vp8_build_intra_predictors_mby_s","vpx_v_predictor_16x16_sse2","/src/libvpx/vp8/common/reconintra.c","/work/build/vpx_dsp_rtcd.h",50,67,1479,1479,"vp8_build_intra_predictors_mby_s(MACROBLOCKD *, unsigned char *, unsigned char *, int, unsigned char *, int) -> void","MACROBLOCKD * x, unsigned char * yabove_row, unsigned char * yleft, int left_stride, unsigned char * ypred_ptr, int y_stride","void","void","vpx_v_predictor_16x16_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_build_intra_predictors_mby_s","vpx_h_predictor_16x16_sse2","/src/libvpx/vp8/common/reconintra.c","/work/build/vpx_dsp_rtcd.h",50,67,262,262,"vp8_build_intra_predictors_mby_s(MACROBLOCKD *, unsigned char *, unsigned char *, int, unsigned char *, int) -> void","MACROBLOCKD * x, unsigned char * yabove_row, unsigned char * yleft, int left_stride, unsigned char * ypred_ptr, int y_stride","void","void","vpx_h_predictor_16x16_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_build_intra_predictors_mby_s","vpx_tm_predictor_16x16_sse2","/src/libvpx/vp8/common/reconintra.c","/work/build/vpx_dsp_rtcd.h",50,67,1463,1463,"vp8_build_intra_predictors_mby_s(MACROBLOCKD *, unsigned char *, unsigned char *, int, unsigned char *, int) -> void","MACROBLOCKD * x, unsigned char * yabove_row, unsigned char * yleft, int left_stride, unsigned char * ypred_ptr, int y_stride","void","void","vpx_tm_predictor_16x16_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_build_intra_predictors_mby_s","vpx_dc_128_predictor_16x16_sse2","/src/libvpx/vp8/common/reconintra.c","/work/build/vpx_dsp_rtcd.h",50,67,182,182,"vp8_build_intra_predictors_mby_s(MACROBLOCKD *, unsigned char *, unsigned char *, int, unsigned char *, int) -> void","MACROBLOCKD * x, unsigned char * yabove_row, unsigned char * yleft, int left_stride, unsigned char * ypred_ptr, int y_stride","void","void","vpx_dc_128_predictor_16x16_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_build_intra_predictors_mby_s","vpx_dc_top_predictor_16x16_sse2","/src/libvpx/vp8/common/reconintra.c","/work/build/vpx_dsp_rtcd.h",50,67,230,230,"vp8_build_intra_predictors_mby_s(MACROBLOCKD *, unsigned char *, unsigned char *, int, unsigned char *, int) -> void","MACROBLOCKD * x, unsigned char * yabove_row, unsigned char * yleft, int left_stride, unsigned char * ypred_ptr, int y_stride","void","void","vpx_dc_top_predictor_16x16_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_build_intra_predictors_mby_s","vpx_dc_left_predictor_16x16_sse2","/src/libvpx/vp8/common/reconintra.c","/work/build/vpx_dsp_rtcd.h",50,67,198,198,"vp8_build_intra_predictors_mby_s(MACROBLOCKD *, unsigned char *, unsigned char *, int, unsigned char *, int) -> void","MACROBLOCKD * x, unsigned char * yabove_row, unsigned char * yleft, int left_stride, unsigned char * ypred_ptr, int y_stride","void","void","vpx_dc_left_predictor_16x16_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_build_intra_predictors_mby_s","vpx_dc_predictor_16x16_sse2","/src/libvpx/vp8/common/reconintra.c","/work/build/vpx_dsp_rtcd.h",50,67,214,214,"vp8_build_intra_predictors_mby_s(MACROBLOCKD *, unsigned char *, unsigned char *, int, unsigned char *, int) -> void","MACROBLOCKD * x, unsigned char * yabove_row, unsigned char * yleft, int left_stride, unsigned char * ypred_ptr, int y_stride","void","void","vpx_dc_predictor_16x16_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_build_intra_predictors_mby_s","vpx_v_predictor_8x8_sse2","/src/libvpx/vp8/common/reconintra.c","/work/build/vpx_dsp_rtcd.h",50,67,1491,1491,"vp8_build_intra_predictors_mby_s(MACROBLOCKD *, unsigned char *, unsigned char *, int, unsigned char *, int) -> void","MACROBLOCKD * x, unsigned char * yabove_row, unsigned char * yleft, int left_stride, unsigned char * ypred_ptr, int y_stride","void","void","vpx_v_predictor_8x8_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_build_intra_predictors_mby_s","vpx_h_predictor_8x8_sse2","/src/libvpx/vp8/common/reconintra.c","/work/build/vpx_dsp_rtcd.h",50,67,274,274,"vp8_build_intra_predictors_mby_s(MACROBLOCKD *, unsigned char *, unsigned char *, int, unsigned char *, int) -> void","MACROBLOCKD * x, unsigned char * yabove_row, unsigned char * yleft, int left_stride, unsigned char * ypred_ptr, int y_stride","void","void","vpx_h_predictor_8x8_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_build_intra_predictors_mby_s","vpx_tm_predictor_8x8_sse2","/src/libvpx/vp8/common/reconintra.c","/work/build/vpx_dsp_rtcd.h",50,67,1475,1475,"vp8_build_intra_predictors_mby_s(MACROBLOCKD *, unsigned char *, unsigned char *, int, unsigned char *, int) -> void","MACROBLOCKD * x, unsigned char * yabove_row, unsigned char * yleft, int left_stride, unsigned char * ypred_ptr, int y_stride","void","void","vpx_tm_predictor_8x8_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_build_intra_predictors_mby_s","vpx_dc_128_predictor_8x8_sse2","/src/libvpx/vp8/common/reconintra.c","/work/build/vpx_dsp_rtcd.h",50,67,194,194,"vp8_build_intra_predictors_mby_s(MACROBLOCKD *, unsigned char *, unsigned char *, int, unsigned char *, int) -> void","MACROBLOCKD * x, unsigned char * yabove_row, unsigned char * yleft, int left_stride, unsigned char * ypred_ptr, int y_stride","void","void","vpx_dc_128_predictor_8x8_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_build_intra_predictors_mby_s","vpx_dc_top_predictor_8x8_sse2","/src/libvpx/vp8/common/reconintra.c","/work/build/vpx_dsp_rtcd.h",50,67,242,242,"vp8_build_intra_predictors_mby_s(MACROBLOCKD *, unsigned char *, unsigned char *, int, unsigned char *, int) -> void","MACROBLOCKD * x, unsigned char * yabove_row, unsigned char * yleft, int left_stride, unsigned char * ypred_ptr, int y_stride","void","void","vpx_dc_top_predictor_8x8_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_build_intra_predictors_mby_s","vpx_dc_left_predictor_8x8_sse2","/src/libvpx/vp8/common/reconintra.c","/work/build/vpx_dsp_rtcd.h",50,67,210,210,"vp8_build_intra_predictors_mby_s(MACROBLOCKD *, unsigned char *, unsigned char *, int, unsigned char *, int) -> void","MACROBLOCKD * x, unsigned char * yabove_row, unsigned char * yleft, int left_stride, unsigned char * ypred_ptr, int y_stride","void","void","vpx_dc_left_predictor_8x8_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_build_intra_predictors_mby_s","vpx_dc_predictor_8x8_sse2","/src/libvpx/vp8/common/reconintra.c","/work/build/vpx_dsp_rtcd.h",50,67,226,226,"vp8_build_intra_predictors_mby_s(MACROBLOCKD *, unsigned char *, unsigned char *, int, unsigned char *, int) -> void","MACROBLOCKD * x, unsigned char * yabove_row, unsigned char * yleft, int left_stride, unsigned char * ypred_ptr, int y_stride","void","void","vpx_dc_predictor_8x8_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
