"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"vp8_intra4x4_predict","memcpy","/src/libvpx/vp8/common/reconintra4x4.c","/usr/include/string.h",42,75,43,43,"vp8_intra4x4_predict(unsigned char *, unsigned char *, int, B_PREDICTION_MODE, unsigned char *, int, unsigned char) -> void","unsigned char * above, unsigned char * yleft, int left_stride, B_PREDICTION_MODE b_mode, unsigned char * dst, int dst_stride, unsigned char top_left","void","void","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"vp8_intra4x4_predict","vpx_v_predictor_16x16_sse2","/src/libvpx/vp8/common/reconintra4x4.c","/work/build/vpx_dsp_rtcd.h",42,75,1479,1479,"vp8_intra4x4_predict(unsigned char *, unsigned char *, int, B_PREDICTION_MODE, unsigned char *, int, unsigned char) -> void","unsigned char * above, unsigned char * yleft, int left_stride, B_PREDICTION_MODE b_mode, unsigned char * dst, int dst_stride, unsigned char top_left","void","void","vpx_v_predictor_16x16_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_intra4x4_predict","vpx_h_predictor_16x16_sse2","/src/libvpx/vp8/common/reconintra4x4.c","/work/build/vpx_dsp_rtcd.h",42,75,262,262,"vp8_intra4x4_predict(unsigned char *, unsigned char *, int, B_PREDICTION_MODE, unsigned char *, int, unsigned char) -> void","unsigned char * above, unsigned char * yleft, int left_stride, B_PREDICTION_MODE b_mode, unsigned char * dst, int dst_stride, unsigned char top_left","void","void","vpx_h_predictor_16x16_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_intra4x4_predict","vpx_tm_predictor_16x16_sse2","/src/libvpx/vp8/common/reconintra4x4.c","/work/build/vpx_dsp_rtcd.h",42,75,1463,1463,"vp8_intra4x4_predict(unsigned char *, unsigned char *, int, B_PREDICTION_MODE, unsigned char *, int, unsigned char) -> void","unsigned char * above, unsigned char * yleft, int left_stride, B_PREDICTION_MODE b_mode, unsigned char * dst, int dst_stride, unsigned char top_left","void","void","vpx_tm_predictor_16x16_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_intra4x4_predict","vpx_v_predictor_8x8_sse2","/src/libvpx/vp8/common/reconintra4x4.c","/work/build/vpx_dsp_rtcd.h",42,75,1491,1491,"vp8_intra4x4_predict(unsigned char *, unsigned char *, int, B_PREDICTION_MODE, unsigned char *, int, unsigned char) -> void","unsigned char * above, unsigned char * yleft, int left_stride, B_PREDICTION_MODE b_mode, unsigned char * dst, int dst_stride, unsigned char top_left","void","void","vpx_v_predictor_8x8_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_intra4x4_predict","vpx_h_predictor_8x8_sse2","/src/libvpx/vp8/common/reconintra4x4.c","/work/build/vpx_dsp_rtcd.h",42,75,274,274,"vp8_intra4x4_predict(unsigned char *, unsigned char *, int, B_PREDICTION_MODE, unsigned char *, int, unsigned char) -> void","unsigned char * above, unsigned char * yleft, int left_stride, B_PREDICTION_MODE b_mode, unsigned char * dst, int dst_stride, unsigned char top_left","void","void","vpx_h_predictor_8x8_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_intra4x4_predict","vpx_tm_predictor_8x8_sse2","/src/libvpx/vp8/common/reconintra4x4.c","/work/build/vpx_dsp_rtcd.h",42,75,1475,1475,"vp8_intra4x4_predict(unsigned char *, unsigned char *, int, B_PREDICTION_MODE, unsigned char *, int, unsigned char) -> void","unsigned char * above, unsigned char * yleft, int left_stride, B_PREDICTION_MODE b_mode, unsigned char * dst, int dst_stride, unsigned char top_left","void","void","vpx_tm_predictor_8x8_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_intra4x4_predict","vpx_ve_predictor_4x4_c","/src/libvpx/vp8/common/reconintra4x4.c","/src/libvpx/vpx_dsp/intrapred.c",42,75,264,264,"vp8_intra4x4_predict(unsigned char *, unsigned char *, int, B_PREDICTION_MODE, unsigned char *, int, unsigned char) -> void","unsigned char * above, unsigned char * yleft, int left_stride, B_PREDICTION_MODE b_mode, unsigned char * dst, int dst_stride, unsigned char top_left","void","void","vpx_ve_predictor_4x4_c(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_intra4x4_predict","vpx_v_predictor_4x4_sse2","/src/libvpx/vp8/common/reconintra4x4.c","/work/build/vpx_dsp_rtcd.h",42,75,1487,1487,"vp8_intra4x4_predict(unsigned char *, unsigned char *, int, B_PREDICTION_MODE, unsigned char *, int, unsigned char) -> void","unsigned char * above, unsigned char * yleft, int left_stride, B_PREDICTION_MODE b_mode, unsigned char * dst, int dst_stride, unsigned char top_left","void","void","vpx_v_predictor_4x4_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"vp8_intra4x4_predict","vpx_v_predictor_32x32_sse2","/src/libvpx/vp8/common/reconintra4x4.c","/work/build/vpx_dsp_rtcd.h",42,75,1483,1483,"vp8_intra4x4_predict(unsigned char *, unsigned char *, int, B_PREDICTION_MODE, unsigned char *, int, unsigned char) -> void","unsigned char * above, unsigned char * yleft, int left_stride, B_PREDICTION_MODE b_mode, unsigned char * dst, int dst_stride, unsigned char top_left","void","void","vpx_v_predictor_32x32_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
