"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"decode_mb_rows","memset","/src/libvpx/vp8/decoder/decodeframe.c","/usr/include/string.h",436,661,61,61,"decode_mb_rows(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"decode_mb_rows","vp8_extend_mb_row","/src/libvpx/vp8/decoder/decodeframe.c","/src/libvpx/vp8/common/extend.c",436,661,144,144,"decode_mb_rows(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","vp8_extend_mb_row(YV12_BUFFER_CONFIG *, unsigned char *, unsigned char *, unsigned char *) -> void","YV12_BUFFER_CONFIG * ybf, unsigned char * YPtr, unsigned char * UPtr, unsigned char * VPtr","void","void"
"decode_mb_rows","vp8_loop_filter_row_simple","/src/libvpx/vp8/decoder/decodeframe.c","/src/libvpx/vp8/common/vp8_loopfilter.c",436,661,221,221,"decode_mb_rows(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","vp8_loop_filter_row_simple(VP8Common *, VP8_COMMON *, MODE_INFO *, modeinfo *, int, int, unsigned char *) -> void","VP8Common * cm, MODE_INFO * mode_info_context, int mb_row, int post_ystride, unsigned char * y_ptr","void","void"
"decode_mb_rows","vp8_loop_filter_row_normal","/src/libvpx/vp8/decoder/decodeframe.c","/src/libvpx/vp8/common/vp8_loopfilter.c",436,661,167,167,"decode_mb_rows(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","vp8_loop_filter_row_normal(VP8Common *, VP8_COMMON *, MODE_INFO *, modeinfo *, int, int, int, unsigned char *, unsigned char *, unsigned char *) -> void","VP8Common * cm, MODE_INFO * mode_info_context, int mb_row, int post_ystride, int post_uvstride, unsigned char * y_ptr, unsigned char * u_ptr, unsigned char * v_ptr","void","void"
"decode_mb_rows","vp8_loop_filter_frame_init","/src/libvpx/vp8/decoder/decodeframe.c","/src/libvpx/vp8/common/vp8_loopfilter.c",436,661,94,94,"decode_mb_rows(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","vp8_loop_filter_frame_init(VP8Common *, VP8_COMMON *, MACROBLOCKD *, macroblockd *, int) -> void","VP8Common * cm, MACROBLOCKD * mbd, int default_filt_lvl","void","void"
"decode_mb_rows","setup_intra_recon_left","/src/libvpx/vp8/decoder/decodeframe.c","/src/libvpx/vp8/common/setupintrarecon.h",436,661,23,23,"decode_mb_rows(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","setup_intra_recon_left(unsigned char *, unsigned char *, unsigned char *, int, int) -> void","unsigned char * y_buffer, unsigned char * u_buffer, unsigned char * v_buffer, int y_stride, int uv_stride","void","void"
"decode_mb_rows","vp8_setup_intra_recon_top_line","/src/libvpx/vp8/decoder/decodeframe.c","/src/libvpx/vp8/common/setupintrarecon.c",436,661,34,34,"decode_mb_rows(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","vp8_setup_intra_recon_top_line(YV12_BUFFER_CONFIG *) -> void","YV12_BUFFER_CONFIG * ybf","void","void"
"decode_mb_rows","vp8dx_bool_error","/src/libvpx/vp8/decoder/decodeframe.c","/src/libvpx/vp8/decoder/dboolhuff.h",436,661,104,104,"decode_mb_rows(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","vp8dx_bool_error(BOOL_DECODER *) -> int","BOOL_DECODER * br","int","int"
"decode_mb_rows","decode_macroblock","/src/libvpx/vp8/decoder/decodeframe.c","/src/libvpx/vp8/decoder/decodeframe.c",436,661,94,94,"decode_mb_rows(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","decode_macroblock(VP8D_COMP *, MACROBLOCKD *, unsigned int) -> void","VP8D_COMP * pbi, MACROBLOCKD * xd, unsigned int mb_idx","void","void"
"decode_mb_rows","yv12_extend_frame_left_right_c","/src/libvpx/vp8/decoder/decodeframe.c","/src/libvpx/vp8/decoder/decodeframe.c",436,661,357,357,"decode_mb_rows(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","yv12_extend_frame_left_right_c(YV12_BUFFER_CONFIG *, unsigned char *, unsigned char *, unsigned char *) -> void","YV12_BUFFER_CONFIG * ybf, unsigned char * y_src, unsigned char * u_src, unsigned char * v_src","void","void"
"decode_mb_rows","yv12_extend_frame_top_c","/src/libvpx/vp8/decoder/decodeframe.c","/src/libvpx/vp8/decoder/decodeframe.c",436,661,255,255,"decode_mb_rows(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","yv12_extend_frame_top_c(YV12_BUFFER_CONFIG *) -> void","YV12_BUFFER_CONFIG * ybf","void","void"
"decode_mb_rows","yv12_extend_frame_bottom_c","/src/libvpx/vp8/decoder/decodeframe.c","/src/libvpx/vp8/decoder/decodeframe.c",436,661,302,302,"decode_mb_rows(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","yv12_extend_frame_bottom_c(YV12_BUFFER_CONFIG *) -> void","YV12_BUFFER_CONFIG * ybf","void","void"
