"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"vp8_decoder_create_threads","memset","/src/libvpx/vp8/decoder/threading.c","/usr/include/string.h",615,672,61,61,"vp8_decoder_create_threads(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"vp8_decoder_create_threads","pthread_create","/src/libvpx/vp8/decoder/threading.c","/usr/include/pthread.h",615,672,198,198,"vp8_decoder_create_threads(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","pthread_create(pthread_t *__restrict__, const pthread_attr_t *__restrict__, ..(*)(..), void *__restrict__) -> int","pthread_t *__restrict__ __newthread, const pthread_attr_t *__restrict__ __attr, ..(*)(..) __start_routine, void *__restrict__ __arg","int","int"
"vp8_decoder_create_threads","__assert_fail","/src/libvpx/vp8/decoder/threading.c","/usr/include/assert.h",615,672,69,69,"vp8_decoder_create_threads(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"vp8_decoder_create_threads","vp8_setup_block_dptrs","/src/libvpx/vp8/decoder/threading.c","/src/libvpx/vp8/common/mbpitch.c",615,672,13,13,"vp8_decoder_create_threads(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","vp8_setup_block_dptrs(MACROBLOCKD *) -> void","MACROBLOCKD * x","void","void"
"vp8_decoder_create_threads","vpx_internal_error","/src/libvpx/vp8/decoder/threading.c","/src/libvpx/vpx/src/vpx_codec.c",615,672,116,116,"vp8_decoder_create_threads(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","vpx_internal_error(vpx_internal_error_info *, vpx_codec_err_t, const char *) -> void","vpx_internal_error_info * info, vpx_codec_err_t error, const char * fmt","void","void"
"vp8_decoder_create_threads","sem_destroy","/src/libvpx/vp8/decoder/threading.c","/usr/include/semaphore.h",615,672,39,39,"vp8_decoder_create_threads(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","sem_destroy(sem_t *) -> int","sem_t * __sem","int","int"
"vp8_decoder_create_threads","sem_init","/src/libvpx/vp8/decoder/threading.c","/usr/include/semaphore.h",615,672,35,35,"vp8_decoder_create_threads(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","sem_init(sem_t *, int, unsigned int) -> int","sem_t * __sem, int __pshared, unsigned int __value","int","int"
"vp8_decoder_create_threads","vpx_atomic_init","/src/libvpx/vp8/decoder/threading.c","/src/libvpx/vpx_util/vpx_atomics.h",615,672,79,79,"vp8_decoder_create_threads(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","vpx_atomic_init(vpx_atomic_int *, int) -> void","vpx_atomic_int * atomic, int value","void","void"
"vp8_decoder_create_threads","vpx_memalign","/src/libvpx/vp8/decoder/threading.c","/src/libvpx/vpx_mem/vpx_mem.c",615,672,57,57,"vp8_decoder_create_threads(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","vpx_memalign(size_t, size_t) -> void *","size_t align, size_t size","void *","void *"
"vp8_decoder_create_threads","vpx_calloc","/src/libvpx/vp8/decoder/threading.c","/src/libvpx/vpx_mem/vpx_mem.c",615,672,72,72,"vp8_decoder_create_threads(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void","vpx_calloc(size_t, size_t) -> void *","size_t num, size_t size","void *","void *"
