"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"vp8_decode","__assert_fail","/src/libvpx/vp8/vp8_dx_iface.c","/usr/include/assert.h",279,521,69,69,"vp8_decode(vpx_codec_alg_priv_t *, const uint8_t *, unsigned int, void *) -> vpx_codec_err_t","vpx_codec_alg_priv_t * ctx, const uint8_t * data, unsigned int data_sz, void * user_priv","vpx_codec_err_t","(unnamed enum)","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"vp8_decode","vp8_alloc_frame_buffers","/src/libvpx/vp8/vp8_dx_iface.c","/src/libvpx/vp8/common/alloccommon.c",279,521,51,51,"vp8_decode(vpx_codec_alg_priv_t *, const uint8_t *, unsigned int, void *) -> vpx_codec_err_t","vpx_codec_alg_priv_t * ctx, const uint8_t * data, unsigned int data_sz, void * user_priv","vpx_codec_err_t","(unnamed enum)","vp8_alloc_frame_buffers(VP8_COMMON *, int, int) -> int","VP8_COMMON * oci, int width, int height","int","int"
"vp8_decode","vp8_build_block_doffsets","/src/libvpx/vp8/vp8_dx_iface.c","/src/libvpx/vp8/common/mbpitch.c",279,521,43,43,"vp8_decode(vpx_codec_alg_priv_t *, const uint8_t *, unsigned int, void *) -> vpx_codec_err_t","vpx_codec_alg_priv_t * ctx, const uint8_t * data, unsigned int data_sz, void * user_priv","vpx_codec_err_t","(unnamed enum)","vp8_build_block_doffsets(MACROBLOCKD *) -> void","MACROBLOCKD * x","void","void"
"vp8_decode","_setjmp","/src/libvpx/vp8/vp8_dx_iface.c","/usr/include/setjmp.h",279,521,58,58,"vp8_decode(vpx_codec_alg_priv_t *, const uint8_t *, unsigned int, void *) -> vpx_codec_err_t","vpx_codec_alg_priv_t * ctx, const uint8_t * data, unsigned int data_sz, void * user_priv","vpx_codec_err_t","(unnamed enum)","_setjmp(__jmp_buf_tag[1]) -> int","__jmp_buf_tag[1] __env","int","int"
"vp8_decode","vpx_internal_error","/src/libvpx/vp8/vp8_dx_iface.c","/src/libvpx/vpx/src/vpx_codec.c",279,521,116,116,"vp8_decode(vpx_codec_alg_priv_t *, const uint8_t *, unsigned int, void *) -> vpx_codec_err_t","vpx_codec_alg_priv_t * ctx, const uint8_t * data, unsigned int data_sz, void * user_priv","vpx_codec_err_t","(unnamed enum)","vpx_internal_error(vpx_internal_error_info *, vpx_codec_err_t, const char *) -> void","vpx_internal_error_info * info, vpx_codec_err_t error, const char * fmt","void","void"
"vp8_decode","vpx_clear_system_state","/src/libvpx/vp8/vp8_dx_iface.c","/src/libvpx/vpx_ports/system_state.h",279,521,21,21,"vp8_decode(vpx_codec_alg_priv_t *, const uint8_t *, unsigned int, void *) -> vpx_codec_err_t","vpx_codec_alg_priv_t * ctx, const uint8_t * data, unsigned int data_sz, void * user_priv","vpx_codec_err_t","(unnamed enum)","vpx_clear_system_state() -> void","","void","void"
"vp8_decode","vpx_atomic_load_acquire","/src/libvpx/vp8/vp8_dx_iface.c","/src/libvpx/vpx_util/vpx_atomics.h",279,521,92,92,"vp8_decode(vpx_codec_alg_priv_t *, const uint8_t *, unsigned int, void *) -> vpx_codec_err_t","vpx_codec_alg_priv_t * ctx, const uint8_t * data, unsigned int data_sz, void * user_priv","vpx_codec_err_t","(unnamed enum)","vpx_atomic_load_acquire(const vpx_atomic_int *) -> int","const vpx_atomic_int * atomic","int","int"
"vp8_decode","vp8_decoder_remove_threads","/src/libvpx/vp8/vp8_dx_iface.c","/src/libvpx/vp8/decoder/threading.c",279,521,809,809,"vp8_decode(vpx_codec_alg_priv_t *, const uint8_t *, unsigned int, void *) -> vpx_codec_err_t","vpx_codec_alg_priv_t * ctx, const uint8_t * data, unsigned int data_sz, void * user_priv","vpx_codec_err_t","(unnamed enum)","vp8_decoder_remove_threads(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void"
"vp8_decode","vp8dx_receive_compressed_data","/src/libvpx/vp8/vp8_dx_iface.c","/src/libvpx/vp8/decoder/onyxd_if.c",279,521,305,305,"vp8_decode(vpx_codec_alg_priv_t *, const uint8_t *, unsigned int, void *) -> vpx_codec_err_t","vpx_codec_alg_priv_t * ctx, const uint8_t * data, unsigned int data_sz, void * user_priv","vpx_codec_err_t","(unnamed enum)","vp8dx_receive_compressed_data(VP8D_COMP *) -> int","VP8D_COMP * pbi","int","int"
"vp8_decode","vp8_create_decoder_instances","/src/libvpx/vp8/vp8_dx_iface.c","/src/libvpx/vp8/decoder/onyxd_if.c",279,521,424,424,"vp8_decode(vpx_codec_alg_priv_t *, const uint8_t *, unsigned int, void *) -> vpx_codec_err_t","vpx_codec_alg_priv_t * ctx, const uint8_t * data, unsigned int data_sz, void * user_priv","vpx_codec_err_t","(unnamed enum)","vp8_create_decoder_instances(frame_buffers *, VP8D_CONFIG *) -> int","frame_buffers * fb, VP8D_CONFIG * oxcf","int","int"
"vp8_decode","vp8mt_de_alloc_temp_buffers","/src/libvpx/vp8/vp8_dx_iface.c","/src/libvpx/vp8/decoder/threading.c",279,521,674,674,"vp8_decode(vpx_codec_alg_priv_t *, const uint8_t *, unsigned int, void *) -> vpx_codec_err_t","vpx_codec_alg_priv_t * ctx, const uint8_t * data, unsigned int data_sz, void * user_priv","vpx_codec_err_t","(unnamed enum)","vp8mt_de_alloc_temp_buffers(VP8D_COMP *, int) -> void","VP8D_COMP * pbi, int mb_rows","void","void"
"vp8_decode","vp8mt_alloc_temp_buffers","/src/libvpx/vp8/vp8_dx_iface.c","/src/libvpx/vp8/decoder/threading.c",279,521,737,737,"vp8_decode(vpx_codec_alg_priv_t *, const uint8_t *, unsigned int, void *) -> vpx_codec_err_t","vpx_codec_alg_priv_t * ctx, const uint8_t * data, unsigned int data_sz, void * user_priv","vpx_codec_err_t","(unnamed enum)","vp8mt_alloc_temp_buffers(VP8D_COMP *, int, int) -> void","VP8D_COMP * pbi, int width, int prev_mb_rows","void","void"
"vp8_decode","vp8_decoder_create_threads","/src/libvpx/vp8/vp8_dx_iface.c","/src/libvpx/vp8/decoder/threading.c",279,521,615,615,"vp8_decode(vpx_codec_alg_priv_t *, const uint8_t *, unsigned int, void *) -> vpx_codec_err_t","vpx_codec_alg_priv_t * ctx, const uint8_t * data, unsigned int data_sz, void * user_priv","vpx_codec_err_t","(unnamed enum)","vp8_decoder_create_threads(VP8D_COMP *) -> void","VP8D_COMP * pbi","void","void"
