"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"vp9_alloc_context_buffers","calc_mi_size","/src/libvpx/vp9/common/vp9_alloccommon.c","/src/libvpx/vp9/common/vp9_onyxc_int.h",129,167,416,416,"vp9_alloc_context_buffers(VP9Common *, VP9_COMMON *, int, int) -> int","VP9Common * cm, int width, int height","int","int","calc_mi_size(int) -> int","int len","int","int"
"vp9_alloc_context_buffers","mi_cols_aligned_to_sb","/src/libvpx/vp9/common/vp9_alloccommon.c","/src/libvpx/vp9/common/vp9_onyxc_int.h",129,167,359,359,"vp9_alloc_context_buffers(VP9Common *, VP9_COMMON *, int, int) -> int","VP9Common * cm, int width, int height","int","int","mi_cols_aligned_to_sb(int) -> int","int n_mis","int","int"
"vp9_alloc_context_buffers","vp9_free_context_buffers","/src/libvpx/vp9/common/vp9_alloccommon.c","/src/libvpx/vp9/common/vp9_alloccommon.c",129,167,105,105,"vp9_alloc_context_buffers(VP9Common *, VP9_COMMON *, int, int) -> int","VP9Common * cm, int width, int height","int","int","vp9_free_context_buffers(VP9Common *, VP9_COMMON *) -> void","VP9Common * cm","void","void"
"vp9_alloc_context_buffers","vp9_set_mb_mi","/src/libvpx/vp9/common/vp9_alloccommon.c","/src/libvpx/vp9/common/vp9_alloccommon.c",129,167,36,36,"vp9_alloc_context_buffers(VP9Common *, VP9_COMMON *, int, int) -> int","VP9Common * cm, int width, int height","int","int","vp9_set_mb_mi(VP9Common *, VP9_COMMON *, int, int) -> void","VP9Common * cm, int width, int height","void","void"
"vp9_alloc_context_buffers","free_seg_map","/src/libvpx/vp9/common/vp9_alloccommon.c","/src/libvpx/vp9/common/vp9_alloccommon.c",129,167,61,61,"vp9_alloc_context_buffers(VP9Common *, VP9_COMMON *, int, int) -> int","VP9Common * cm, int width, int height","int","int","free_seg_map(VP9_COMMON *) -> void","VP9_COMMON * cm","void","void"
"vp9_alloc_context_buffers","alloc_seg_map","/src/libvpx/vp9/common/vp9_alloccommon.c","/src/libvpx/vp9/common/vp9_alloccommon.c",129,167,42,42,"vp9_alloc_context_buffers(VP9Common *, VP9_COMMON *, int, int) -> int","VP9Common * cm, int width, int height","int","int","alloc_seg_map(VP9_COMMON *, int) -> int","VP9_COMMON * cm, int seg_map_size","int","int"
"vp9_alloc_context_buffers","vp9_alloc_loop_filter","/src/libvpx/vp9/common/vp9_alloccommon.c","/src/libvpx/vp9/common/vp9_alloccommon.c",129,167,117,117,"vp9_alloc_context_buffers(VP9Common *, VP9_COMMON *, int, int) -> int","VP9Common * cm, int width, int height","int","int","vp9_alloc_loop_filter(VP9Common *, VP9_COMMON *) -> int","VP9Common * cm","int","int"
"vp9_alloc_context_buffers","vp9_dec_alloc_mi","/src/libvpx/vp9/common/vp9_alloccommon.c","/src/libvpx/vp9/decoder/vp9_decoder.c",129,167,147,147,"vp9_alloc_context_buffers(VP9Common *, VP9_COMMON *, int, int) -> int","VP9Common * cm, int width, int height","int","int","vp9_dec_alloc_mi(VP9_COMMON *, int) -> int","VP9_COMMON * cm, int mi_size","int","int"
"vp9_alloc_context_buffers","vp9_dec_free_mi","/src/libvpx/vp9/common/vp9_alloccommon.c","/src/libvpx/vp9/decoder/vp9_decoder.c",129,167,156,156,"vp9_alloc_context_buffers(VP9Common *, VP9_COMMON *, int, int) -> int","VP9Common * cm, int width, int height","int","int","vp9_dec_free_mi(VP9_COMMON *) -> void","VP9_COMMON * cm","void","void"
"vp9_alloc_context_buffers","vpx_free","/src/libvpx/vp9/common/vp9_alloccommon.c","/src/libvpx/vpx_mem/vpx_mem.c",129,167,81,81,"vp9_alloc_context_buffers(VP9Common *, VP9_COMMON *, int, int) -> int","VP9Common * cm, int width, int height","int","int","vpx_free(void *) -> void","void * memblk","void","void"
"vp9_alloc_context_buffers","vpx_calloc","/src/libvpx/vp9/common/vp9_alloccommon.c","/src/libvpx/vpx_mem/vpx_mem.c",129,167,72,72,"vp9_alloc_context_buffers(VP9Common *, VP9_COMMON *, int, int) -> int","VP9Common * cm, int width, int height","int","int","vpx_calloc(size_t, size_t) -> void *","size_t num, size_t size","void *","void *"
