"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"build_intra_predictors","memset","/src/libvpx/vp9/common/vp9_reconintra.c","/usr/include/string.h",268,403,61,61,"build_intra_predictors(const MACROBLOCKD *, const uint8_t *, int, uint8_t *, int, PREDICTION_MODE, TX_SIZE, int, int, int, int, int, int) -> void","const MACROBLOCKD * xd, const uint8_t * ref, int ref_stride, uint8_t * dst, int dst_stride, PREDICTION_MODE mode, TX_SIZE tx_size, int up_available, int left_available, int right_available, int x, int y, int plane","void","void","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"build_intra_predictors","memcpy","/src/libvpx/vp9/common/vp9_reconintra.c","/usr/include/string.h",268,403,43,43,"build_intra_predictors(const MACROBLOCKD *, const uint8_t *, int, uint8_t *, int, PREDICTION_MODE, TX_SIZE, int, int, int, int, int, int) -> void","const MACROBLOCKD * xd, const uint8_t * ref, int ref_stride, uint8_t * dst, int dst_stride, PREDICTION_MODE mode, TX_SIZE tx_size, int up_available, int left_available, int right_available, int x, int y, int plane","void","void","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"build_intra_predictors","vpx_v_predictor_16x16_sse2","/src/libvpx/vp9/common/vp9_reconintra.c","/work/build/vpx_dsp_rtcd.h",268,403,1479,1479,"build_intra_predictors(const MACROBLOCKD *, const uint8_t *, int, uint8_t *, int, PREDICTION_MODE, TX_SIZE, int, int, int, int, int, int) -> void","const MACROBLOCKD * xd, const uint8_t * ref, int ref_stride, uint8_t * dst, int dst_stride, PREDICTION_MODE mode, TX_SIZE tx_size, int up_available, int left_available, int right_available, int x, int y, int plane","void","void","vpx_v_predictor_16x16_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"build_intra_predictors","vpx_h_predictor_16x16_sse2","/src/libvpx/vp9/common/vp9_reconintra.c","/work/build/vpx_dsp_rtcd.h",268,403,262,262,"build_intra_predictors(const MACROBLOCKD *, const uint8_t *, int, uint8_t *, int, PREDICTION_MODE, TX_SIZE, int, int, int, int, int, int) -> void","const MACROBLOCKD * xd, const uint8_t * ref, int ref_stride, uint8_t * dst, int dst_stride, PREDICTION_MODE mode, TX_SIZE tx_size, int up_available, int left_available, int right_available, int x, int y, int plane","void","void","vpx_h_predictor_16x16_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"build_intra_predictors","vpx_tm_predictor_16x16_sse2","/src/libvpx/vp9/common/vp9_reconintra.c","/work/build/vpx_dsp_rtcd.h",268,403,1463,1463,"build_intra_predictors(const MACROBLOCKD *, const uint8_t *, int, uint8_t *, int, PREDICTION_MODE, TX_SIZE, int, int, int, int, int, int) -> void","const MACROBLOCKD * xd, const uint8_t * ref, int ref_stride, uint8_t * dst, int dst_stride, PREDICTION_MODE mode, TX_SIZE tx_size, int up_available, int left_available, int right_available, int x, int y, int plane","void","void","vpx_tm_predictor_16x16_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"build_intra_predictors","vpx_dc_128_predictor_16x16_sse2","/src/libvpx/vp9/common/vp9_reconintra.c","/work/build/vpx_dsp_rtcd.h",268,403,182,182,"build_intra_predictors(const MACROBLOCKD *, const uint8_t *, int, uint8_t *, int, PREDICTION_MODE, TX_SIZE, int, int, int, int, int, int) -> void","const MACROBLOCKD * xd, const uint8_t * ref, int ref_stride, uint8_t * dst, int dst_stride, PREDICTION_MODE mode, TX_SIZE tx_size, int up_available, int left_available, int right_available, int x, int y, int plane","void","void","vpx_dc_128_predictor_16x16_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"build_intra_predictors","vpx_dc_top_predictor_16x16_sse2","/src/libvpx/vp9/common/vp9_reconintra.c","/work/build/vpx_dsp_rtcd.h",268,403,230,230,"build_intra_predictors(const MACROBLOCKD *, const uint8_t *, int, uint8_t *, int, PREDICTION_MODE, TX_SIZE, int, int, int, int, int, int) -> void","const MACROBLOCKD * xd, const uint8_t * ref, int ref_stride, uint8_t * dst, int dst_stride, PREDICTION_MODE mode, TX_SIZE tx_size, int up_available, int left_available, int right_available, int x, int y, int plane","void","void","vpx_dc_top_predictor_16x16_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"build_intra_predictors","vpx_dc_left_predictor_16x16_sse2","/src/libvpx/vp9/common/vp9_reconintra.c","/work/build/vpx_dsp_rtcd.h",268,403,198,198,"build_intra_predictors(const MACROBLOCKD *, const uint8_t *, int, uint8_t *, int, PREDICTION_MODE, TX_SIZE, int, int, int, int, int, int) -> void","const MACROBLOCKD * xd, const uint8_t * ref, int ref_stride, uint8_t * dst, int dst_stride, PREDICTION_MODE mode, TX_SIZE tx_size, int up_available, int left_available, int right_available, int x, int y, int plane","void","void","vpx_dc_left_predictor_16x16_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"build_intra_predictors","vpx_dc_predictor_16x16_sse2","/src/libvpx/vp9/common/vp9_reconintra.c","/work/build/vpx_dsp_rtcd.h",268,403,214,214,"build_intra_predictors(const MACROBLOCKD *, const uint8_t *, int, uint8_t *, int, PREDICTION_MODE, TX_SIZE, int, int, int, int, int, int) -> void","const MACROBLOCKD * xd, const uint8_t * ref, int ref_stride, uint8_t * dst, int dst_stride, PREDICTION_MODE mode, TX_SIZE tx_size, int up_available, int left_available, int right_available, int x, int y, int plane","void","void","vpx_dc_predictor_16x16_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
"build_intra_predictors","vpx_v_predictor_8x8_sse2","/src/libvpx/vp9/common/vp9_reconintra.c","/work/build/vpx_dsp_rtcd.h",268,403,1491,1491,"build_intra_predictors(const MACROBLOCKD *, const uint8_t *, int, uint8_t *, int, PREDICTION_MODE, TX_SIZE, int, int, int, int, int, int) -> void","const MACROBLOCKD * xd, const uint8_t * ref, int ref_stride, uint8_t * dst, int dst_stride, PREDICTION_MODE mode, TX_SIZE tx_size, int up_available, int left_available, int right_available, int x, int y, int plane","void","void","vpx_v_predictor_8x8_sse2(uint8_t *, ptrdiff_t, const uint8_t *, const uint8_t *) -> void","uint8_t * dst, ptrdiff_t stride, const uint8_t * above, const uint8_t * left","void","void"
