"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"thread_loop_filter_rows","__assert_fail","/src/libvpx/vp9/common/vp9_thread_common.c","/usr/include/assert.h",94,146,69,69,"thread_loop_filter_rows(const YV12_BUFFER_CONFIG *const, VP9_COMMON *const, macroblockd_plane[3], int, int, int, VP9LfSync *const) -> void","const YV12_BUFFER_CONFIG *const frame_buffer, VP9_COMMON *const cm, macroblockd_plane[3] planes, int start, int stop, int y_only, VP9LfSync *const lf_sync","void","void","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"thread_loop_filter_rows","mi_cols_aligned_to_sb","/src/libvpx/vp9/common/vp9_thread_common.c","/src/libvpx/vp9/common/vp9_onyxc_int.h",94,146,359,359,"thread_loop_filter_rows(const YV12_BUFFER_CONFIG *const, VP9_COMMON *const, macroblockd_plane[3], int, int, int, VP9LfSync *const) -> void","const YV12_BUFFER_CONFIG *const frame_buffer, VP9_COMMON *const cm, macroblockd_plane[3] planes, int start, int stop, int y_only, VP9LfSync *const lf_sync","void","void","mi_cols_aligned_to_sb(int) -> int","int n_mis","int","int"
"thread_loop_filter_rows","vp9_adjust_mask","/src/libvpx/vp9/common/vp9_thread_common.c","/src/libvpx/vp9/common/vp9_loopfilter.c",94,146,766,766,"thread_loop_filter_rows(const YV12_BUFFER_CONFIG *const, VP9_COMMON *const, macroblockd_plane[3], int, int, int, VP9LfSync *const) -> void","const YV12_BUFFER_CONFIG *const frame_buffer, VP9_COMMON *const cm, macroblockd_plane[3] planes, int start, int stop, int y_only, VP9LfSync *const lf_sync","void","void","vp9_adjust_mask(VP9Common *const, VP9_COMMON *const, const int, const int, LOOP_FILTER_MASK *) -> void","VP9Common *const cm, const int mi_row, const int mi_col, LOOP_FILTER_MASK * lfm","void","void"
"thread_loop_filter_rows","get_lfm","/src/libvpx/vp9/common/vp9_thread_common.c","/src/libvpx/vp9/common/vp9_loopfilter.h",94,146,127,127,"thread_loop_filter_rows(const YV12_BUFFER_CONFIG *const, VP9_COMMON *const, macroblockd_plane[3], int, int, int, VP9LfSync *const) -> void","const YV12_BUFFER_CONFIG *const frame_buffer, VP9_COMMON *const cm, macroblockd_plane[3] planes, int start, int stop, int y_only, VP9LfSync *const lf_sync","void","void","get_lfm(const loopfilter *, const int, const int) -> LOOP_FILTER_MASK *","const loopfilter * lf, const int mi_row, const int mi_col","LOOP_FILTER_MASK *","struct <unnamed> *"
"thread_loop_filter_rows","vp9_filter_block_plane_non420","/src/libvpx/vp9/common/vp9_thread_common.c","/src/libvpx/vp9/common/vp9_loopfilter.c",94,146,1078,1078,"thread_loop_filter_rows(const YV12_BUFFER_CONFIG *const, VP9_COMMON *const, macroblockd_plane[3], int, int, int, VP9LfSync *const) -> void","const YV12_BUFFER_CONFIG *const frame_buffer, VP9_COMMON *const cm, macroblockd_plane[3] planes, int start, int stop, int y_only, VP9LfSync *const lf_sync","void","void","vp9_filter_block_plane_non420(VP9Common *, VP9_COMMON *, macroblockd_plane *, MODE_INFO **, int, int) -> void","VP9Common * cm, macroblockd_plane * plane, MODE_INFO ** mi_8x8, int mi_row, int mi_col","void","void"
"thread_loop_filter_rows","vp9_filter_block_plane_ss11","/src/libvpx/vp9/common/vp9_thread_common.c","/src/libvpx/vp9/common/vp9_loopfilter.c",94,146,1324,1324,"thread_loop_filter_rows(const YV12_BUFFER_CONFIG *const, VP9_COMMON *const, macroblockd_plane[3], int, int, int, VP9LfSync *const) -> void","const YV12_BUFFER_CONFIG *const frame_buffer, VP9_COMMON *const cm, macroblockd_plane[3] planes, int start, int stop, int y_only, VP9LfSync *const lf_sync","void","void","vp9_filter_block_plane_ss11(VP9Common *const, VP9_COMMON *const, macroblockd_plane *const, int, LOOP_FILTER_MASK *) -> void","VP9Common *const cm, macroblockd_plane *const plane, int mi_row, LOOP_FILTER_MASK * lfm","void","void"
"thread_loop_filter_rows","vp9_filter_block_plane_ss00","/src/libvpx/vp9/common/vp9_thread_common.c","/src/libvpx/vp9/common/vp9_loopfilter.c",94,146,1239,1239,"thread_loop_filter_rows(const YV12_BUFFER_CONFIG *const, VP9_COMMON *const, macroblockd_plane[3], int, int, int, VP9LfSync *const) -> void","const YV12_BUFFER_CONFIG *const frame_buffer, VP9_COMMON *const cm, macroblockd_plane[3] planes, int start, int stop, int y_only, VP9LfSync *const lf_sync","void","void","vp9_filter_block_plane_ss00(VP9Common *const, VP9_COMMON *const, macroblockd_plane *const, int, LOOP_FILTER_MASK *) -> void","VP9Common *const cm, macroblockd_plane *const plane, int mi_row, LOOP_FILTER_MASK * lfm","void","void"
"thread_loop_filter_rows","vp9_setup_dst_planes","/src/libvpx/vp9/common/vp9_thread_common.c","/src/libvpx/vp9/common/vp9_reconinter.c",94,146,259,259,"thread_loop_filter_rows(const YV12_BUFFER_CONFIG *const, VP9_COMMON *const, macroblockd_plane[3], int, int, int, VP9LfSync *const) -> void","const YV12_BUFFER_CONFIG *const frame_buffer, VP9_COMMON *const cm, macroblockd_plane[3] planes, int start, int stop, int y_only, VP9LfSync *const lf_sync","void","void","vp9_setup_dst_planes(macroblockd_plane[3], const YV12_BUFFER_CONFIG *, int, int) -> void","macroblockd_plane[3] planes, const YV12_BUFFER_CONFIG * src, int mi_row, int mi_col","void","void"
"thread_loop_filter_rows","sync_read","/src/libvpx/vp9/common/vp9_thread_common.c","/src/libvpx/vp9/common/vp9_thread_common.c",94,146,39,39,"thread_loop_filter_rows(const YV12_BUFFER_CONFIG *const, VP9_COMMON *const, macroblockd_plane[3], int, int, int, VP9LfSync *const) -> void","const YV12_BUFFER_CONFIG *const frame_buffer, VP9_COMMON *const cm, macroblockd_plane[3] planes, int start, int stop, int y_only, VP9LfSync *const lf_sync","void","void","sync_read(VP9LfSync *const, int, int) -> void","VP9LfSync *const lf_sync, int r, int c","void","void"
"thread_loop_filter_rows","sync_write","/src/libvpx/vp9/common/vp9_thread_common.c","/src/libvpx/vp9/common/vp9_thread_common.c",94,146,59,59,"thread_loop_filter_rows(const YV12_BUFFER_CONFIG *const, VP9_COMMON *const, macroblockd_plane[3], int, int, int, VP9LfSync *const) -> void","const YV12_BUFFER_CONFIG *const frame_buffer, VP9_COMMON *const cm, macroblockd_plane[3] planes, int start, int stop, int y_only, VP9LfSync *const lf_sync","void","void","sync_write(VP9LfSync *const, int, int, const int) -> void","VP9LfSync *const lf_sync, int r, int c, const int sb_cols","void","void"
