"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"highbd_iadst4_sse4_1","transpose_32bit_4x4","/src/libvpx/vp9/common/x86/vp9_highbd_iht4x4_add_sse4.c","/src/libvpx/vpx_dsp/x86/transpose_sse2.h",18,85,242,242,"highbd_iadst4_sse4_1(__m128i *const) -> void","__m128i *const io","void","void","transpose_32bit_4x4(const __m128i *const, __m128i *const) -> void","const __m128i *const in, __m128i *const out","void","void"
"highbd_iadst4_sse4_1","_mm_add_epi64","/src/libvpx/vp9/common/x86/vp9_highbd_iht4x4_add_sse4.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",18,85,2205,2205,"highbd_iadst4_sse4_1(__m128i *const) -> void","__m128i *const io","void","void","_mm_add_epi64(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"highbd_iadst4_sse4_1","_mm_sub_epi64","/src/libvpx/vp9/common/x86/vp9_highbd_iht4x4_add_sse4.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",18,85,2647,2647,"highbd_iadst4_sse4_1(__m128i *const) -> void","__m128i *const io","void","void","_mm_sub_epi64(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"highbd_iadst4_sse4_1","dct_const_round_shift_64bit","/src/libvpx/vp9/common/x86/vp9_highbd_iht4x4_add_sse4.c","/src/libvpx/vpx_dsp/x86/highbd_inv_txfm_sse2.h",18,85,52,52,"highbd_iadst4_sse4_1(__m128i *const) -> void","__m128i *const io","void","void","dct_const_round_shift_64bit(const __m128i) -> __m128i","const __m128i in","__m128i","__attribute((vector_size(16))) long long"
"highbd_iadst4_sse4_1","pack_4","/src/libvpx/vp9/common/x86/vp9_highbd_iht4x4_add_sse4.c","/src/libvpx/vpx_dsp/x86/highbd_inv_txfm_sse2.h",18,85,58,58,"highbd_iadst4_sse4_1(__m128i *const) -> void","__m128i *const io","void","void","pack_4(const __m128i, const __m128i) -> __m128i","const __m128i in0, const __m128i in1","__m128i","__attribute((vector_size(16))) long long"
"highbd_iadst4_sse4_1","_mm_add_epi32","/src/libvpx/vp9/common/x86/vp9_highbd_iht4x4_add_sse4.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",18,85,2165,2165,"highbd_iadst4_sse4_1(__m128i *const) -> void","__m128i *const io","void","void","_mm_add_epi32(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"highbd_iadst4_sse4_1","_mm_sub_epi32","/src/libvpx/vp9/common/x86/vp9_highbd_iht4x4_add_sse4.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",18,85,2610,2610,"highbd_iadst4_sse4_1(__m128i *const) -> void","__m128i *const io","void","void","_mm_sub_epi32(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"highbd_iadst4_sse4_1","_mm_set_epi32","/src/libvpx/vp9/common/x86/vp9_highbd_iht4x4_add_sse4.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",18,85,3663,3663,"highbd_iadst4_sse4_1(__m128i *const) -> void","__m128i *const io","void","void","_mm_set_epi32(int, int, int, int) -> __m128i","int __i3, int __i2, int __i1, int __i0","__m128i","__attribute((vector_size(16))) long long"
"highbd_iadst4_sse4_1","extend_64bit","/src/libvpx/vp9/common/x86/vp9_highbd_iht4x4_add_sse4.c","/src/libvpx/vpx_dsp/x86/highbd_inv_txfm_sse2.h",18,85,26,26,"highbd_iadst4_sse4_1(__m128i *const) -> void","__m128i *const io","void","void","extend_64bit(const __m128i, __m128i *const) -> void","const __m128i in, __m128i *const out","void","void"
"highbd_iadst4_sse4_1","_mm_mul_epi32","/src/libvpx/vp9/common/x86/vp9_highbd_iht4x4_add_sse4.c","/usr/local/lib/clang/15.0.0/include/smmintrin.h",18,85,558,558,"highbd_iadst4_sse4_1(__m128i *const) -> void","__m128i *const io","void","void","_mm_mul_epi32(__m128i, __m128i) -> __m128i","__m128i __V1, __m128i __V2","__m128i","__attribute((vector_size(16))) long long"
