"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"decode_tiles_row_wise_mt","memset","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/usr/include/string.h",2330,2443,61,61,"decode_tiles_row_wise_mt(VP9Decoder *, const uint8_t *, const uint8_t *) -> const uint8_t *","VP9Decoder * pbi, const uint8_t * data, const uint8_t * data_end","const uint8_t *","unsigned char *","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"decode_tiles_row_wise_mt","__assert_fail","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/usr/include/assert.h",2330,2443,69,69,"decode_tiles_row_wise_mt(VP9Decoder *, const uint8_t *, const uint8_t *) -> const uint8_t *","VP9Decoder * pbi, const uint8_t * data, const uint8_t * data_end","const uint8_t *","unsigned char *","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"decode_tiles_row_wise_mt","mi_cols_aligned_to_sb","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/common/vp9_onyxc_int.h",2330,2443,359,359,"decode_tiles_row_wise_mt(VP9Decoder *, const uint8_t *, const uint8_t *) -> const uint8_t *","VP9Decoder * pbi, const uint8_t * data, const uint8_t * data_end","const uint8_t *","unsigned char *","mi_cols_aligned_to_sb(int) -> int","int n_mis","int","int"
"decode_tiles_row_wise_mt","get_frame_new_buffer","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/common/vp9_onyxc_int.h",2330,2443,327,327,"decode_tiles_row_wise_mt(VP9Decoder *, const uint8_t *, const uint8_t *) -> const uint8_t *","VP9Decoder * pbi, const uint8_t * data, const uint8_t * data_end","const uint8_t *","unsigned char *","get_frame_new_buffer(VP9_COMMON *) -> YV12_BUFFER_CONFIG *","VP9_COMMON * cm","YV12_BUFFER_CONFIG *","yv12_buffer_config *"
"decode_tiles_row_wise_mt","vp9_loop_filter_data_reset","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/common/vp9_loopfilter.c",2330,2443,1608,1608,"decode_tiles_row_wise_mt(VP9Decoder *, const uint8_t *, const uint8_t *) -> const uint8_t *","VP9Decoder * pbi, const uint8_t * data, const uint8_t * data_end","const uint8_t *","unsigned char *","vp9_loop_filter_data_reset(LFWorkerData *, YV12_BUFFER_CONFIG *, VP9Common *, const macroblockd_plane[3]) -> void","LFWorkerData * lf_data, YV12_BUFFER_CONFIG * frame_buffer, VP9Common * cm, const macroblockd_plane[3] planes","void","void"
"decode_tiles_row_wise_mt","vp9_accumulate_frame_counts","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/common/vp9_thread_common.c",2330,2443,489,489,"decode_tiles_row_wise_mt(VP9Decoder *, const uint8_t *, const uint8_t *) -> const uint8_t *","VP9Decoder * pbi, const uint8_t * data, const uint8_t * data_end","const uint8_t *","unsigned char *","vp9_accumulate_frame_counts(FRAME_COUNTS *, const FRAME_COUNTS *, int) -> void","FRAME_COUNTS * accum, const FRAME_COUNTS * counts, int is_dec","void","void"
"decode_tiles_row_wise_mt","vpx_get_worker_interface","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vpx_util/vpx_thread.c",2330,2443,216,216,"decode_tiles_row_wise_mt(VP9Decoder *, const uint8_t *, const uint8_t *) -> const uint8_t *","VP9Decoder * pbi, const uint8_t * data, const uint8_t * data_end","const uint8_t *","unsigned char *","vpx_get_worker_interface() -> const VPxWorkerInterface *","","const VPxWorkerInterface *","struct <unnamed> *"
"decode_tiles_row_wise_mt","init_mt","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/decoder/vp9_decodeframe.c",2330,2443,2281,2281,"decode_tiles_row_wise_mt(VP9Decoder *, const uint8_t *, const uint8_t *) -> const uint8_t *","VP9Decoder * pbi, const uint8_t * data, const uint8_t * data_end","const uint8_t *","unsigned char *","init_mt(VP9Decoder *) -> void","VP9Decoder * pbi","void","void"
"decode_tiles_row_wise_mt","get_tile_buffers","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/decoder/vp9_decodeframe.c",2330,2443,1684,1684,"decode_tiles_row_wise_mt(VP9Decoder *, const uint8_t *, const uint8_t *) -> const uint8_t *","VP9Decoder * pbi, const uint8_t * data, const uint8_t * data_end","const uint8_t *","unsigned char *","get_tile_buffers(VP9Decoder *, const uint8_t *, const uint8_t *, int, int, TileBuffer(*)[64]) -> void","VP9Decoder * pbi, const uint8_t * data, const uint8_t * data_end, int tile_cols, int tile_rows, TileBuffer(*)[64] tile_buffers","void","void"
"decode_tiles_row_wise_mt","vp9_jobq_reset","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/decoder/vp9_job_queue.c",2330,2443,31,31,"decode_tiles_row_wise_mt(VP9Decoder *, const uint8_t *, const uint8_t *) -> const uint8_t *","VP9Decoder * pbi, const uint8_t * data, const uint8_t * data_end","const uint8_t *","unsigned char *","vp9_jobq_reset(JobQueueRowMt *) -> void","JobQueueRowMt * jobq","void","void"
