"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"init_mt","memset","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/usr/include/string.h",2281,2326,61,61,"init_mt(VP9Decoder *) -> void","VP9Decoder * pbi","void","void","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"init_mt","__assert_fail","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/usr/include/assert.h",2281,2326,69,69,"init_mt(VP9Decoder *) -> void","VP9Decoder * pbi","void","void","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"init_mt","vpx_internal_error","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vpx/src/vpx_codec.c",2281,2326,116,116,"init_mt(VP9Decoder *) -> void","VP9Decoder * pbi","void","void","vpx_internal_error(vpx_internal_error_info *, vpx_codec_err_t, const char *) -> void","vpx_internal_error_info * info, vpx_codec_err_t error, const char * fmt","void","void"
"init_mt","mi_cols_aligned_to_sb","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/common/vp9_onyxc_int.h",2281,2326,359,359,"init_mt(VP9Decoder *) -> void","VP9Decoder * pbi","void","void","mi_cols_aligned_to_sb(int) -> int","int n_mis","int","int"
"init_mt","vp9_reset_lfm","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/common/vp9_loopfilter.c",2281,2326,1619,1619,"init_mt(VP9Decoder *) -> void","VP9Decoder * pbi","void","void","vp9_reset_lfm(VP9Common *const, VP9_COMMON *const) -> void","VP9Common *const cm","void","void"
"init_mt","vp9_lpf_mt_init","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/common/vp9_thread_common.c",2281,2326,243,243,"init_mt(VP9Decoder *) -> void","VP9Decoder * pbi","void","void","vp9_lpf_mt_init(VP9LfSync *, VP9Common *, VP9_COMMON *, int, int) -> void","VP9LfSync * lf_sync, VP9Common * cm, int frame_filter_level, int num_workers","void","void"
"init_mt","vpx_get_worker_interface","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vpx_util/vpx_thread.c",2281,2326,216,216,"init_mt(VP9Decoder *) -> void","VP9Decoder * pbi","void","void","vpx_get_worker_interface() -> const VPxWorkerInterface *","","const VPxWorkerInterface *","struct <unnamed> *"
"init_mt","vpx_free","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vpx_mem/vpx_mem.c",2281,2326,81,81,"init_mt(VP9Decoder *) -> void","VP9Decoder * pbi","void","void","vpx_free(void *) -> void","void * memblk","void","void"
"init_mt","vpx_malloc","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vpx_mem/vpx_mem.c",2281,2326,70,70,"init_mt(VP9Decoder *) -> void","VP9Decoder * pbi","void","void","vpx_malloc(size_t) -> void *","size_t size","void *","void *"
"init_mt","end","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vpx_util/vpx_thread.c",2281,2326,183,183,"init_mt(VP9Decoder *) -> void","VP9Decoder * pbi","void","void","end(VPxWorker *const) -> void","VPxWorker *const worker","void","void"
"init_mt","reset","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vpx_util/vpx_thread.c",2281,2326,131,131,"init_mt(VP9Decoder *) -> void","VP9Decoder * pbi","void","void","reset(VPxWorker *const) -> int","VPxWorker *const worker","int","int"
"init_mt","init","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vpx_util/vpx_thread.c",2281,2326,118,118,"init_mt(VP9Decoder *) -> void","VP9Decoder * pbi","void","void","init(VPxWorker *const) -> void","VPxWorker *const worker","void","void"
