"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"inverse_transform_block_inter","memset","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/usr/include/string.h",172,235,61,61,"inverse_transform_block_inter(MACROBLOCKD *, int, const TX_SIZE, uint8_t *, int, int) -> void","MACROBLOCKD * xd, int plane, const TX_SIZE tx_size, uint8_t * dst, int stride, int eob","void","void","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"inverse_transform_block_inter","__assert_fail","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/usr/include/assert.h",172,235,69,69,"inverse_transform_block_inter(MACROBLOCKD *, int, const TX_SIZE, uint8_t *, int, int) -> void","MACROBLOCKD * xd, int plane, const TX_SIZE tx_size, uint8_t * dst, int stride, int eob","void","void","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"inverse_transform_block_inter","vp9_highbd_idct16x16_add","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/common/vp9_idct.c",172,235,342,342,"inverse_transform_block_inter(MACROBLOCKD *, int, const TX_SIZE, uint8_t *, int, int) -> void","MACROBLOCKD * xd, int plane, const TX_SIZE tx_size, uint8_t * dst, int stride, int eob","void","void","vp9_highbd_idct16x16_add(const tran_low_t *, uint16_t *, int, int, int) -> void","const tran_low_t * input, uint16_t * dest, int stride, int eob, int bd","void","void"
"inverse_transform_block_inter","vp9_highbd_idct8x8_add","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/common/vp9_idct.c",172,235,325,325,"inverse_transform_block_inter(MACROBLOCKD *, int, const TX_SIZE, uint8_t *, int, int) -> void","MACROBLOCKD * xd, int plane, const TX_SIZE tx_size, uint8_t * dst, int stride, int eob","void","void","vp9_highbd_idct8x8_add(const tran_low_t *, uint16_t *, int, int, int) -> void","const tran_low_t * input, uint16_t * dest, int stride, int eob, int bd","void","void"
"inverse_transform_block_inter","vp9_highbd_idct4x4_add","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/common/vp9_idct.c",172,235,309,309,"inverse_transform_block_inter(MACROBLOCKD *, int, const TX_SIZE, uint8_t *, int, int) -> void","MACROBLOCKD * xd, int plane, const TX_SIZE tx_size, uint8_t * dst, int stride, int eob","void","void","vp9_highbd_idct4x4_add(const tran_low_t *, uint16_t *, int, int, int) -> void","const tran_low_t * input, uint16_t * dest, int stride, int eob, int bd","void","void"
"inverse_transform_block_inter","vp9_highbd_idct32x32_add","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/common/vp9_idct.c",172,235,358,358,"inverse_transform_block_inter(MACROBLOCKD *, int, const TX_SIZE, uint8_t *, int, int) -> void","MACROBLOCKD * xd, int plane, const TX_SIZE tx_size, uint8_t * dst, int stride, int eob","void","void","vp9_highbd_idct32x32_add(const tran_low_t *, uint16_t *, int, int, int) -> void","const tran_low_t * input, uint16_t * dest, int stride, int eob, int bd","void","void"
"inverse_transform_block_inter","vp9_highbd_iwht4x4_add","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/common/vp9_idct.c",172,235,317,317,"inverse_transform_block_inter(MACROBLOCKD *, int, const TX_SIZE, uint8_t *, int, int) -> void","MACROBLOCKD * xd, int plane, const TX_SIZE tx_size, uint8_t * dst, int stride, int eob","void","void","vp9_highbd_iwht4x4_add(const tran_low_t *, uint16_t *, int, int, int) -> void","const tran_low_t * input, uint16_t * dest, int stride, int eob, int bd","void","void"
"inverse_transform_block_inter","vp9_idct16x16_add","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/common/vp9_idct.c",172,235,151,151,"inverse_transform_block_inter(MACROBLOCKD *, int, const TX_SIZE, uint8_t *, int, int) -> void","MACROBLOCKD * xd, int plane, const TX_SIZE tx_size, uint8_t * dst, int stride, int eob","void","void","vp9_idct16x16_add(const tran_low_t *, uint8_t *, int, int) -> void","const tran_low_t * input, uint8_t * dest, int stride, int eob","void","void"
"inverse_transform_block_inter","vp9_idct8x8_add","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/common/vp9_idct.c",172,235,135,135,"inverse_transform_block_inter(MACROBLOCKD *, int, const TX_SIZE, uint8_t *, int, int) -> void","MACROBLOCKD * xd, int plane, const TX_SIZE tx_size, uint8_t * dst, int stride, int eob","void","void","vp9_idct8x8_add(const tran_low_t *, uint8_t *, int, int) -> void","const tran_low_t * input, uint8_t * dest, int stride, int eob","void","void"
"inverse_transform_block_inter","vp9_idct4x4_add","/src/libvpx/vp9/decoder/vp9_decodeframe.c","/src/libvpx/vp9/common/vp9_idct.c",172,235,119,119,"inverse_transform_block_inter(MACROBLOCKD *, int, const TX_SIZE, uint8_t *, int, int) -> void","MACROBLOCKD * xd, int plane, const TX_SIZE tx_size, uint8_t * dst, int stride, int eob","void","void","vp9_idct4x4_add(const tran_low_t *, uint8_t *, int, int) -> void","const tran_low_t * input, uint8_t * dest, int stride, int eob","void","void"
