"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"vp9_decoder_create","memset","/src/libvpx/vp9/decoder/vp9_decoder.c","/usr/include/string.h",169,217,61,61,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"vp9_decoder_create","memset","/src/libvpx/vp9/decoder/vp9_decoder.c","/usr/include/string.h",169,217,61,61,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"vp9_decoder_create","__assert_fail","/src/libvpx/vp9/decoder/vp9_decoder.c","/usr/include/assert.h",169,217,69,69,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"vp9_decoder_create","__assert_fail","/src/libvpx/vp9/decoder/vp9_decoder.c","/usr/include/assert.h",169,217,69,69,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"vp9_decoder_create","_setjmp","/src/libvpx/vp9/decoder/vp9_decoder.c","/usr/include/setjmp.h",169,217,58,58,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","_setjmp(__jmp_buf_tag[1]) -> int","__jmp_buf_tag[1] __env","int","int"
"vp9_decoder_create","_setjmp","/src/libvpx/vp9/decoder/vp9_decoder.c","/usr/include/setjmp.h",169,217,58,58,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","_setjmp(__jmp_buf_tag[1]) -> int","__jmp_buf_tag[1] __env","int","int"
"vp9_decoder_create","vpx_internal_error","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vpx/src/vpx_codec.c",169,217,116,116,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","vpx_internal_error(vpx_internal_error_info *, vpx_codec_err_t, const char *) -> void","vpx_internal_error_info * info, vpx_codec_err_t error, const char * fmt","void","void"
"vp9_decoder_create","vpx_internal_error","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vpx/src/vpx_codec.c",169,217,116,116,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","vpx_internal_error(vpx_internal_error_info *, vpx_codec_err_t, const char *) -> void","vpx_internal_error_info * info, vpx_codec_err_t error, const char * fmt","void","void"
"vp9_decoder_create","once","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vpx_ports/vpx_once.h",169,217,96,96,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","once(..(*)(..)) -> void","..(*)(..) func","void","void"
"vp9_decoder_create","once","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vpx_ports/vpx_once.h",169,217,96,96,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","once(..(*)(..)) -> void","..(*)(..) func","void","void"
"vp9_decoder_create","init_frame_indexes","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vp9/common/vp9_onyxc_int.h",169,217,272,272,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","init_frame_indexes(VP9_COMMON *) -> void","VP9_COMMON * cm","void","void"
"vp9_decoder_create","init_frame_indexes","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vp9/common/vp9_onyxc_int.h",169,217,272,272,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","init_frame_indexes(VP9_COMMON *) -> void","VP9_COMMON * cm","void","void"
"vp9_decoder_create","vp9_loop_filter_init","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vp9/common/vp9_loopfilter.c",169,217,238,238,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","vp9_loop_filter_init(VP9Common *, VP9_COMMON *) -> void","VP9Common * cm","void","void"
"vp9_decoder_create","vp9_loop_filter_init","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vp9/common/vp9_loopfilter.c",169,217,238,238,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","vp9_loop_filter_init(VP9Common *, VP9_COMMON *) -> void","VP9Common * cm","void","void"
"vp9_decoder_create","vpx_get_worker_interface","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vpx_util/vpx_thread.c",169,217,216,216,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","vpx_get_worker_interface() -> const VPxWorkerInterface *","","const VPxWorkerInterface *","struct <unnamed> *"
"vp9_decoder_create","vpx_get_worker_interface","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vpx_util/vpx_thread.c",169,217,216,216,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","vpx_get_worker_interface() -> const VPxWorkerInterface *","","const VPxWorkerInterface *","struct <unnamed> *"
"vp9_decoder_create","vp9_decoder_remove","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vp9/decoder/vp9_decoder.c",169,217,219,219,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","vp9_decoder_remove(VP9Decoder *) -> void","VP9Decoder * pbi","void","void"
"vp9_decoder_create","vp9_decoder_remove","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vp9/decoder/vp9_decoder.c",169,217,219,219,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","vp9_decoder_remove(VP9Decoder *) -> void","VP9Decoder * pbi","void","void"
"vp9_decoder_create","vpx_memalign","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vpx_mem/vpx_mem.c",169,217,57,57,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","vpx_memalign(size_t, size_t) -> void *","size_t align, size_t size","void *","void *"
"vp9_decoder_create","vpx_memalign","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vpx_mem/vpx_mem.c",169,217,57,57,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","vpx_memalign(size_t, size_t) -> void *","size_t align, size_t size","void *","void *"
"vp9_decoder_create","vpx_calloc","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vpx_mem/vpx_mem.c",169,217,72,72,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","vpx_calloc(size_t, size_t) -> void *","size_t num, size_t size","void *","void *"
"vp9_decoder_create","vpx_calloc","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vpx_mem/vpx_mem.c",169,217,72,72,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","vpx_calloc(size_t, size_t) -> void *","size_t num, size_t size","void *","void *"
"vp9_decoder_create","init","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vpx_util/vpx_thread.c",169,217,118,118,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","init(VPxWorker *const) -> void","VPxWorker *const worker","void","void"
"vp9_decoder_create","init","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vpx_util/vpx_thread.c",169,217,118,118,"vp9_decoder_create(BufferPool *const) -> VP9Decoder *","BufferPool *const pool","VP9Decoder *","VP9Decoder *","init(VPxWorker *const) -> void","VPxWorker *const worker","void","void"
