"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"vp9_receive_compressed_data","__assert_fail","/src/libvpx/vp9/decoder/vp9_decoder.c","/usr/include/assert.h",411,495,69,69,"vp9_receive_compressed_data(VP9Decoder *, size_t, const uint8_t **) -> int","VP9Decoder * pbi, size_t size, const uint8_t ** psource","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"vp9_receive_compressed_data","_setjmp","/src/libvpx/vp9/decoder/vp9_decoder.c","/usr/include/setjmp.h",411,495,58,58,"vp9_receive_compressed_data(VP9Decoder *, size_t, const uint8_t **) -> int","VP9Decoder * pbi, size_t size, const uint8_t ** psource","int","int","_setjmp(__jmp_buf_tag[1]) -> int","__jmp_buf_tag[1] __env","int","int"
"vp9_receive_compressed_data","vpx_internal_error","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vpx/src/vpx_codec.c",411,495,116,116,"vp9_receive_compressed_data(VP9Decoder *, size_t, const uint8_t **) -> int","VP9Decoder * pbi, size_t size, const uint8_t ** psource","int","int","vpx_internal_error(vpx_internal_error_info *, vpx_codec_err_t, const char *) -> void","vpx_internal_error_info * info, vpx_codec_err_t error, const char * fmt","void","void"
"vp9_receive_compressed_data","vpx_clear_system_state","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vpx_ports/system_state.h",411,495,21,21,"vp9_receive_compressed_data(VP9Decoder *, size_t, const uint8_t **) -> int","VP9Decoder * pbi, size_t size, const uint8_t ** psource","int","int","vpx_clear_system_state() -> void","","void","void"
"vp9_receive_compressed_data","get_free_fb","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vp9/common/vp9_onyxc_int.h",411,495,331,331,"vp9_receive_compressed_data(VP9Decoder *, size_t, const uint8_t **) -> int","VP9Decoder * pbi, size_t size, const uint8_t ** psource","int","int","get_free_fb(VP9_COMMON *) -> int","VP9_COMMON * cm","int","int"
"vp9_receive_compressed_data","vp9_swap_current_and_last_seg_map","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vp9/common/vp9_alloccommon.c",411,495,187,187,"vp9_receive_compressed_data(VP9Decoder *, size_t, const uint8_t **) -> int","VP9Decoder * pbi, size_t size, const uint8_t ** psource","int","int","vp9_swap_current_and_last_seg_map(VP9Common *, VP9_COMMON *) -> void","VP9Common * cm","void","void"
"vp9_receive_compressed_data","vp9_release_frame_buffer","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vp9/common/vp9_frame_buffers.c",411,495,77,77,"vp9_receive_compressed_data(VP9Decoder *, size_t, const uint8_t **) -> int","VP9Decoder * pbi, size_t size, const uint8_t ** psource","int","int","vp9_release_frame_buffer(void *, vpx_codec_frame_buffer_t *) -> int","void * cb_priv, vpx_codec_frame_buffer_t * fb","int","int"
"vp9_receive_compressed_data","vp9_decode_frame","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vp9/decoder/vp9_decodeframe.c",411,495,2955,2955,"vp9_receive_compressed_data(VP9Decoder *, size_t, const uint8_t **) -> int","VP9Decoder * pbi, size_t size, const uint8_t ** psource","int","int","vp9_decode_frame(VP9Decoder *, const uint8_t *, const uint8_t *, const uint8_t **) -> void","VP9Decoder * pbi, const uint8_t * data, const uint8_t * data_end, const uint8_t ** p_data_end","void","void"
"vp9_receive_compressed_data","decrease_ref_count","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vp9/decoder/vp9_decoder.h",411,495,170,170,"vp9_receive_compressed_data(VP9Decoder *, size_t, const uint8_t **) -> int","VP9Decoder * pbi, size_t size, const uint8_t ** psource","int","int","decrease_ref_count(int, RefCntBuffer *const, BufferPool *const) -> void","int idx, RefCntBuffer *const frame_bufs, BufferPool *const pool","void","void"
"vp9_receive_compressed_data","release_fb_on_decoder_exit","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vp9/decoder/vp9_decoder.c",411,495,372,372,"vp9_receive_compressed_data(VP9Decoder *, size_t, const uint8_t **) -> int","VP9Decoder * pbi, size_t size, const uint8_t ** psource","int","int","release_fb_on_decoder_exit(VP9Decoder *) -> void","VP9Decoder * pbi","void","void"
"vp9_receive_compressed_data","swap_frame_buffers","/src/libvpx/vp9/decoder/vp9_decoder.c","/src/libvpx/vp9/decoder/vp9_decoder.c",411,495,337,337,"vp9_receive_compressed_data(VP9Decoder *, size_t, const uint8_t **) -> int","VP9Decoder * pbi, size_t size, const uint8_t ** psource","int","int","swap_frame_buffers(VP9Decoder *) -> void","VP9Decoder * pbi","void","void"
