"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"vpx_highbd_filter_block1d4_h4_avx2","_mm_loadu_si128","/src/libvpx/vpx_dsp/x86/highbd_convolve_avx2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",929,1011,3552,3552,"vpx_highbd_filter_block1d4_h4_avx2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm_loadu_si128(const __m128i_u *) -> __m128i","const __m128i_u * __p","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_filter_block1d4_h4_avx2","_mm_storel_epi64","/src/libvpx/vpx_dsp/x86/highbd_convolve_avx2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",929,1011,4127,4127,"vpx_highbd_filter_block1d4_h4_avx2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm_storel_epi64(__m128i_u *, __m128i) -> void","__m128i_u * __p, __m128i __a","void","void"
"vpx_highbd_filter_block1d4_h4_avx2","_mm256_castsi256_si128","/src/libvpx/vpx_dsp/x86/highbd_convolve_avx2.c","/usr/local/lib/clang/15.0.0/include/avxintrin.h",929,1011,4434,4434,"vpx_highbd_filter_block1d4_h4_avx2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm256_castsi256_si128(__m256i) -> __m128i","__m256i __a","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_filter_block1d4_h4_avx2","_mm256_set1_epi16","/src/libvpx/vpx_dsp/x86/highbd_convolve_avx2.c","/usr/local/lib/clang/15.0.0/include/avxintrin.h",929,1011,4200,4200,"vpx_highbd_filter_block1d4_h4_avx2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm256_set1_epi16(short) -> __m256i","short __w","__m256i","__attribute((vector_size(32))) long long"
"vpx_highbd_filter_block1d4_h4_avx2","_mm256_set1_epi32","/src/libvpx/vpx_dsp/x86/highbd_convolve_avx2.c","/usr/local/lib/clang/15.0.0/include/avxintrin.h",929,1011,4182,4182,"vpx_highbd_filter_block1d4_h4_avx2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm256_set1_epi32(int) -> __m256i","int __i","__m256i","__attribute((vector_size(32))) long long"
"vpx_highbd_filter_block1d4_h4_avx2","_mm256_setr_epi8","/src/libvpx/vpx_dsp/x86/highbd_convolve_avx2.c","/usr/local/lib/clang/15.0.0/include/avxintrin.h",929,1011,4092,4092,"vpx_highbd_filter_block1d4_h4_avx2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm256_setr_epi8(char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char, char) -> __m256i","char __b31, char __b30, char __b29, char __b28, char __b27, char __b26, char __b25, char __b24, char __b23, char __b22, char __b21, char __b20, char __b19, char __b18, char __b17, char __b16, char __b15, char __b14, char __b13, char __b12, char __b11, char __b10, char __b09, char __b08, char __b07, char __b06, char __b05, char __b04, char __b03, char __b02, char __b01, char __b00","__m256i","__attribute((vector_size(32))) long long"
"vpx_highbd_filter_block1d4_h4_avx2","_mm256_broadcastsi128_si256","/src/libvpx/vpx_dsp/x86/highbd_convolve_avx2.c","/usr/local/lib/clang/15.0.0/include/avx2intrin.h",929,1011,738,738,"vpx_highbd_filter_block1d4_h4_avx2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm256_broadcastsi128_si256(__m128i) -> __m256i","__m128i __X","__m256i","__attribute((vector_size(32))) long long"
"vpx_highbd_filter_block1d4_h4_avx2","_mm256_shuffle_epi8","/src/libvpx/vpx_dsp/x86/highbd_convolve_avx2.c","/usr/local/lib/clang/15.0.0/include/avx2intrin.h",929,1011,464,464,"vpx_highbd_filter_block1d4_h4_avx2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm256_shuffle_epi8(__m256i, __m256i) -> __m256i","__m256i __a, __m256i __b","__m256i","__attribute((vector_size(32))) long long"
"vpx_highbd_filter_block1d4_h4_avx2","_mm256_min_epi16","/src/libvpx/vpx_dsp/x86/highbd_convolve_avx2.c","/usr/local/lib/clang/15.0.0/include/avx2intrin.h",929,1011,296,296,"vpx_highbd_filter_block1d4_h4_avx2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm256_min_epi16(__m256i, __m256i) -> __m256i","__m256i __a, __m256i __b","__m256i","__attribute((vector_size(32))) long long"
"vpx_highbd_filter_block1d4_h4_avx2","_mm256_packus_epi32","/src/libvpx/vpx_dsp/x86/highbd_convolve_avx2.c","/usr/local/lib/clang/15.0.0/include/avx2intrin.h",929,1011,63,63,"vpx_highbd_filter_block1d4_h4_avx2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm256_packus_epi32(__m256i, __m256i) -> __m256i","__m256i __V1, __m256i __V2","__m256i","__attribute((vector_size(32))) long long"
