"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"vpx_highbd_d153_predictor_4x4_sse2","__builtin_ia32_psrldqi128_byteshift","/src/libvpx/vpx_dsp/x86/highbd_intrapred_intrin_sse2.c","",458,486,0,0,"vpx_highbd_d153_predictor_4x4_sse2(uint16_t *, ptrdiff_t, const uint16_t *, const uint16_t *, int) -> void","uint16_t * dst, ptrdiff_t stride, const uint16_t * above, const uint16_t * left, int bd","void","void","__builtin_ia32_psrldqi128_byteshift(__attribute((vector_size(16))) long long, int) -> __attribute((vector_size(16))) long long","__attribute((vector_size(16))) long long (unnamed parameter 0), int (unnamed parameter 1)","__attribute((vector_size(16))) long long","__attribute((vector_size(16))) long long"
"vpx_highbd_d153_predictor_4x4_sse2","_mm_storel_epi64","/src/libvpx/vpx_dsp/x86/highbd_intrapred_intrin_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",458,486,4127,4127,"vpx_highbd_d153_predictor_4x4_sse2(uint16_t *, ptrdiff_t, const uint16_t *, const uint16_t *, int) -> void","uint16_t * dst, ptrdiff_t stride, const uint16_t * above, const uint16_t * left, int bd","void","void","_mm_storel_epi64(__m128i_u *, __m128i) -> void","__m128i_u * __p, __m128i __a","void","void"
"vpx_highbd_d153_predictor_4x4_sse2","_mm_unpacklo_epi16","/src/libvpx/vpx_dsp/x86/highbd_intrapred_intrin_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",458,486,4663,4663,"vpx_highbd_d153_predictor_4x4_sse2(uint16_t *, ptrdiff_t, const uint16_t *, const uint16_t *, int) -> void","uint16_t * dst, ptrdiff_t stride, const uint16_t * above, const uint16_t * left, int bd","void","void","_mm_unpacklo_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_d153_predictor_4x4_sse2","_mm_castps_si128","/src/libvpx/vpx_dsp/x86/highbd_intrapred_intrin_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",458,486,4917,4917,"vpx_highbd_d153_predictor_4x4_sse2(uint16_t *, ptrdiff_t, const uint16_t *, const uint16_t *, int) -> void","uint16_t * dst, ptrdiff_t stride, const uint16_t * above, const uint16_t * left, int bd","void","void","_mm_castps_si128(__m128) -> __m128i","__m128 __a","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_d153_predictor_4x4_sse2","_mm_loadh_pi","/src/libvpx/vpx_dsp/x86/highbd_intrapred_intrin_sse2.c","/usr/local/lib/clang/15.0.0/include/xmmintrin.h",458,486,1628,1628,"vpx_highbd_d153_predictor_4x4_sse2(uint16_t *, ptrdiff_t, const uint16_t *, const uint16_t *, int) -> void","uint16_t * dst, ptrdiff_t stride, const uint16_t * above, const uint16_t * left, int bd","void","void","_mm_loadh_pi(__m128, const __m64 *) -> __m128","__m128 __a, const __m64 * __p","__m128","__attribute((vector_size(16))) float"
"vpx_highbd_d153_predictor_4x4_sse2","_mm_setzero_ps","/src/libvpx/vpx_dsp/x86/highbd_intrapred_intrin_sse2.c","/usr/local/lib/clang/15.0.0/include/xmmintrin.h",458,486,1907,1907,"vpx_highbd_d153_predictor_4x4_sse2(uint16_t *, ptrdiff_t, const uint16_t *, const uint16_t *, int) -> void","uint16_t * dst, ptrdiff_t stride, const uint16_t * above, const uint16_t * left, int bd","void","void","_mm_setzero_ps() -> __m128","","__m128","__attribute((vector_size(16))) float"
"vpx_highbd_d153_predictor_4x4_sse2","_mm_avg_epu16","/src/libvpx/vpx_dsp/x86/highbd_intrapred_intrin_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",458,486,2330,2330,"vpx_highbd_d153_predictor_4x4_sse2(uint16_t *, ptrdiff_t, const uint16_t *, const uint16_t *, int) -> void","uint16_t * dst, ptrdiff_t stride, const uint16_t * above, const uint16_t * left, int bd","void","void","_mm_avg_epu16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_d153_predictor_4x4_sse2","__builtin_ia32_vec_ext_v8hi","/src/libvpx/vpx_dsp/x86/highbd_intrapred_intrin_sse2.c","",458,486,0,0,"vpx_highbd_d153_predictor_4x4_sse2(uint16_t *, ptrdiff_t, const uint16_t *, const uint16_t *, int) -> void","uint16_t * dst, ptrdiff_t stride, const uint16_t * above, const uint16_t * left, int bd","void","void","__builtin_ia32_vec_ext_v8hi(__attribute((vector_size(16))) short, int) -> short","__attribute((vector_size(16))) short (unnamed parameter 0), int (unnamed parameter 1)","short","short"
"vpx_highbd_d153_predictor_4x4_sse2","avg3_epu16","/src/libvpx/vpx_dsp/x86/highbd_intrapred_intrin_sse2.c","/src/libvpx/vpx_dsp/x86/highbd_intrapred_intrin_sse2.c",458,486,387,387,"vpx_highbd_d153_predictor_4x4_sse2(uint16_t *, ptrdiff_t, const uint16_t *, const uint16_t *, int) -> void","uint16_t * dst, ptrdiff_t stride, const uint16_t * above, const uint16_t * left, int bd","void","void","avg3_epu16(const __m128i *, const __m128i *, const __m128i *) -> __m128i","const __m128i * x, const __m128i * y, const __m128i * z","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_d153_predictor_4x4_sse2","__builtin_ia32_vec_set_v8hi","/src/libvpx/vpx_dsp/x86/highbd_intrapred_intrin_sse2.c","",458,486,0,0,"vpx_highbd_d153_predictor_4x4_sse2(uint16_t *, ptrdiff_t, const uint16_t *, const uint16_t *, int) -> void","uint16_t * dst, ptrdiff_t stride, const uint16_t * above, const uint16_t * left, int bd","void","void","__builtin_ia32_vec_set_v8hi(__attribute((vector_size(16))) short, short, int) -> __attribute((vector_size(16))) short","__attribute((vector_size(16))) short (unnamed parameter 0), short (unnamed parameter 1), int (unnamed parameter 2)","__attribute((vector_size(16))) short","__attribute((vector_size(16))) short"
