"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_load_si128","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,3536,3536,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_load_si128(const __m128i *) -> __m128i","const __m128i * __p","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_set1_epi16","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,3827,3827,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_set1_epi16(short) -> __m128i","short __w","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_loadu_si128","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,3552,3552,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_loadu_si128(const __m128i_u *) -> __m128i","const __m128i_u * __p","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_setzero_si128","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,3981,3981,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_setzero_si128() -> __m128i","","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_unpacklo_epi8","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,4635,4635,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_unpacklo_epi8(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_adds_epi16","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,2248,2248,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_adds_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_slli_epi16","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,2844,2844,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_slli_epi16(__m128i, int) -> __m128i","__m128i __a, int __count","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_max_epi16","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,2376,2376,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_max_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_xor_si128","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,2802,2802,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_xor_si128(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_storeu_si128","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,4015,4015,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_storeu_si128(__m128i_u *, __m128i) -> void","__m128i_u * __p, __m128i __b","void","void"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_and_si128","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,2747,2747,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_and_si128(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_srli_epi16","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,3061,3061,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_srli_epi16(__m128i, int) -> __m128i","__m128i __a, int __count","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_subs_epu16","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,2729,2729,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_subs_epu16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_subs_epi16","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,2689,2689,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_subs_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_adds_epu16","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,2290,2290,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_adds_epu16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_cmpgt_epi16","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,3256,3256,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_cmpgt_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_cmpeq_epi16","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,3194,3194,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_cmpeq_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_or_si128","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,2784,2784,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_or_si128(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","_mm_andnot_si128","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",722,879,2767,2767,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","_mm_andnot_si128(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_lpf_horizontal_4_sse2","signed_char_clamp_bd_sse2","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c","/src/libvpx/vpx_dsp/x86/highbd_loopfilter_sse2.c",722,879,16,16,"vpx_highbd_lpf_horizontal_4_sse2(uint16_t *, int, const uint8_t *, const uint8_t *, const uint8_t *, int) -> void","uint16_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh, int bd","void","void","signed_char_clamp_bd_sse2(__m128i, int) -> __m128i","__m128i value, int bd","__m128i","__attribute((vector_size(16))) long long"
