"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"iadst4_sse2","_mm_add_epi16","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",102,144,2143,2143,"iadst4_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_add_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"iadst4_sse2","_mm_add_epi32","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",102,144,2165,2165,"iadst4_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_add_epi32(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"iadst4_sse2","_mm_sub_epi32","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",102,144,2610,2610,"iadst4_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_sub_epi32(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"iadst4_sse2","_mm_unpacklo_epi32","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",102,144,4686,4686,"iadst4_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_unpacklo_epi32(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"iadst4_sse2","_mm_unpackhi_epi32","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",102,144,4579,4579,"iadst4_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_unpackhi_epi32(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"iadst4_sse2","_mm_packs_epi32","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",102,144,4307,4307,"iadst4_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_packs_epi32(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"iadst4_sse2","_mm_sub_epi16","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",102,144,2592,2592,"iadst4_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_sub_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"iadst4_sse2","_mm_set_epi16","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",102,144,3703,3703,"iadst4_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_set_epi16(short, short, short, short, short, short, short, short) -> __m128i","short __w7, short __w6, short __w5, short __w4, short __w3, short __w2, short __w1, short __w0","__m128i","__attribute((vector_size(16))) long long"
"iadst4_sse2","_mm_madd_epi16","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",102,144,2356,2356,"iadst4_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_madd_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"iadst4_sse2","dct_const_round_shift_sse2","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.h",102,144,60,60,"iadst4_sse2(__m128i *const) -> void","__m128i *const in","void","void","dct_const_round_shift_sse2(const __m128i) -> __m128i","const __m128i in","__m128i","__attribute((vector_size(16))) long long"
"iadst4_sse2","_mm_srli_epi32","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",102,144,3099,3099,"iadst4_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_srli_epi32(__m128i, int) -> __m128i","__m128i __a, int __count","__m128i","__attribute((vector_size(16))) long long"
"iadst4_sse2","_mm_slli_epi32","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",102,144,2882,2882,"iadst4_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_slli_epi32(__m128i, int) -> __m128i","__m128i __a, int __count","__m128i","__attribute((vector_size(16))) long long"
