"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"vpx_iadst16_8col_sse2","_mm_set1_epi16","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",517,867,3827,3827,"vpx_iadst16_8col_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_set1_epi16(short) -> __m128i","short __w","__m128i","__attribute((vector_size(16))) long long"
"vpx_iadst16_8col_sse2","_mm_add_epi16","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",517,867,2143,2143,"vpx_iadst16_8col_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_add_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_iadst16_8col_sse2","_mm_setzero_si128","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",517,867,3981,3981,"vpx_iadst16_8col_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_setzero_si128() -> __m128i","","__m128i","__attribute((vector_size(16))) long long"
"vpx_iadst16_8col_sse2","_mm_add_epi32","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",517,867,2165,2165,"vpx_iadst16_8col_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_add_epi32(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_iadst16_8col_sse2","_mm_sub_epi32","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",517,867,2610,2610,"vpx_iadst16_8col_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_sub_epi32(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_iadst16_8col_sse2","_mm_unpacklo_epi16","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",517,867,4663,4663,"vpx_iadst16_8col_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_unpacklo_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_iadst16_8col_sse2","_mm_unpackhi_epi16","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",517,867,4556,4556,"vpx_iadst16_8col_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_unpackhi_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_iadst16_8col_sse2","_mm_packs_epi32","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",517,867,4307,4307,"vpx_iadst16_8col_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_packs_epi32(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_iadst16_8col_sse2","_mm_sub_epi16","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",517,867,2592,2592,"vpx_iadst16_8col_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_sub_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_iadst16_8col_sse2","_mm_set_epi16","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",517,867,3703,3703,"vpx_iadst16_8col_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_set_epi16(short, short, short, short, short, short, short, short) -> __m128i","short __w7, short __w6, short __w5, short __w4, short __w3, short __w2, short __w1, short __w0","__m128i","__attribute((vector_size(16))) long long"
"vpx_iadst16_8col_sse2","idct_calc_wraplow_sse2","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.h",517,867,72,72,"vpx_iadst16_8col_sse2(__m128i *const) -> void","__m128i *const in","void","void","idct_calc_wraplow_sse2(const __m128i, const __m128i, const __m128i) -> __m128i","const __m128i in0, const __m128i in1, const __m128i x","__m128i","__attribute((vector_size(16))) long long"
"vpx_iadst16_8col_sse2","_mm_madd_epi16","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",517,867,2356,2356,"vpx_iadst16_8col_sse2(__m128i *const) -> void","__m128i *const in","void","void","_mm_madd_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_iadst16_8col_sse2","dct_const_round_shift_sse2","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.h",517,867,60,60,"vpx_iadst16_8col_sse2(__m128i *const) -> void","__m128i *const in","void","void","dct_const_round_shift_sse2(const __m128i) -> __m128i","const __m128i in","__m128i","__attribute((vector_size(16))) long long"
