"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"idct32_34_8x32_quarter_1","_mm_add_epi16","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",891,923,2143,2143,"idct32_34_8x32_quarter_1(const __m128i *const, __m128i *const) -> void","const __m128i *const in, __m128i *const out","void","void","_mm_add_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"idct32_34_8x32_quarter_1","_mm_setzero_si128","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",891,923,3981,3981,"idct32_34_8x32_quarter_1(const __m128i *const, __m128i *const) -> void","const __m128i *const in, __m128i *const out","void","void","_mm_setzero_si128() -> __m128i","","__m128i","__attribute((vector_size(16))) long long"
"idct32_34_8x32_quarter_1","_mm_sub_epi16","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",891,923,2592,2592,"idct32_34_8x32_quarter_1(const __m128i *const, __m128i *const) -> void","const __m128i *const in, __m128i *const out","void","void","_mm_sub_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"idct32_34_8x32_quarter_1","butterfly","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.h",891,923,81,81,"idct32_34_8x32_quarter_1(const __m128i *const, __m128i *const) -> void","const __m128i *const in, __m128i *const out","void","void","butterfly(const __m128i, const __m128i, const int, const int, __m128i *const, __m128i *const) -> void","const __m128i in0, const __m128i in1, const int c0, const int c1, __m128i *const out0, __m128i *const out1","void","void"
"idct32_34_8x32_quarter_1","butterfly_cospi16","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.c","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.h",891,923,92,92,"idct32_34_8x32_quarter_1(const __m128i *const, __m128i *const) -> void","const __m128i *const in, __m128i *const out","void","void","butterfly_cospi16(const __m128i) -> __m128i","const __m128i in","__m128i","__attribute((vector_size(16))) long long"
"idct32_34_8x32_quarter_1","_mm_add_epi16","/src/libvpx/vpx_dsp/x86/inv_txfm_ssse3.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",56,87,2143,2143,"idct32_34_8x32_quarter_1(const __m128i *const, __m128i *const) -> void","const __m128i *const in, __m128i *const out","void","void","_mm_add_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"idct32_34_8x32_quarter_1","_mm_sub_epi16","/src/libvpx/vpx_dsp/x86/inv_txfm_ssse3.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",56,87,2592,2592,"idct32_34_8x32_quarter_1(const __m128i *const, __m128i *const) -> void","const __m128i *const in, __m128i *const out","void","void","_mm_sub_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"idct32_34_8x32_quarter_1","butterfly","/src/libvpx/vpx_dsp/x86/inv_txfm_ssse3.c","/src/libvpx/vpx_dsp/x86/inv_txfm_sse2.h",56,87,81,81,"idct32_34_8x32_quarter_1(const __m128i *const, __m128i *const) -> void","const __m128i *const in, __m128i *const out","void","void","butterfly(const __m128i, const __m128i, const int, const int, __m128i *const, __m128i *const) -> void","const __m128i in0, const __m128i in1, const int c0, const int c1, __m128i *const out0, __m128i *const out1","void","void"
"idct32_34_8x32_quarter_1","partial_butterfly_ssse3","/src/libvpx/vpx_dsp/x86/inv_txfm_ssse3.c","/src/libvpx/vpx_dsp/x86/inv_txfm_ssse3.c",56,87,19,19,"idct32_34_8x32_quarter_1(const __m128i *const, __m128i *const) -> void","const __m128i *const in, __m128i *const out","void","void","partial_butterfly_ssse3(const __m128i, const int, const int, __m128i *const, __m128i *const) -> void","const __m128i in, const int c0, const int c1, __m128i *const out0, __m128i *const out1","void","void"
"idct32_34_8x32_quarter_1","partial_butterfly_cospi16_ssse3","/src/libvpx/vpx_dsp/x86/inv_txfm_ssse3.c","/src/libvpx/vpx_dsp/x86/inv_txfm_ssse3.c",56,87,28,28,"idct32_34_8x32_quarter_1(const __m128i *const, __m128i *const) -> void","const __m128i *const in, __m128i *const out","void","void","partial_butterfly_cospi16_ssse3(const __m128i) -> __m128i","const __m128i in","__m128i","__attribute((vector_size(16))) long long"
