"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"vpx_lpf_horizontal_16_avx2","_mm_packus_epi16","/src/libvpx/vpx_dsp/x86/loopfilter_avx2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",19,363,4335,4335,"vpx_lpf_horizontal_16_avx2(uint8_t *, unsigned char *, int, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *) -> void","uint8_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh","void","void","_mm_packus_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_lpf_horizontal_16_avx2","__builtin_ia32_psrldqi128_byteshift","/src/libvpx/vpx_dsp/x86/loopfilter_avx2.c","",19,363,0,0,"vpx_lpf_horizontal_16_avx2(uint8_t *, unsigned char *, int, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *) -> void","uint8_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh","void","void","__builtin_ia32_psrldqi128_byteshift(__attribute((vector_size(16))) long long, int) -> __attribute((vector_size(16))) long long","__attribute((vector_size(16))) long long (unnamed parameter 0), int (unnamed parameter 1)","__attribute((vector_size(16))) long long","__attribute((vector_size(16))) long long"
"vpx_lpf_horizontal_16_avx2","_mm_set1_epi16","/src/libvpx/vpx_dsp/x86/loopfilter_avx2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",19,363,3827,3827,"vpx_lpf_horizontal_16_avx2(uint8_t *, unsigned char *, int, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *) -> void","uint8_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh","void","void","_mm_set1_epi16(short) -> __m128i","short __w","__m128i","__attribute((vector_size(16))) long long"
"vpx_lpf_horizontal_16_avx2","_mm_add_epi16","/src/libvpx/vpx_dsp/x86/loopfilter_avx2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",19,363,2143,2143,"vpx_lpf_horizontal_16_avx2(uint8_t *, unsigned char *, int, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *) -> void","uint8_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh","void","void","_mm_add_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_lpf_horizontal_16_avx2","_mm_srai_epi16","/src/libvpx/vpx_dsp/x86/loopfilter_avx2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",19,363,2959,2959,"vpx_lpf_horizontal_16_avx2(uint8_t *, unsigned char *, int, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *) -> void","uint8_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh","void","void","_mm_srai_epi16(__m128i, int) -> __m128i","__m128i __a, int __count","__m128i","__attribute((vector_size(16))) long long"
"vpx_lpf_horizontal_16_avx2","_mm_setzero_si128","/src/libvpx/vpx_dsp/x86/loopfilter_avx2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",19,363,3981,3981,"vpx_lpf_horizontal_16_avx2(uint8_t *, unsigned char *, int, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *) -> void","uint8_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh","void","void","_mm_setzero_si128() -> __m128i","","__m128i","__attribute((vector_size(16))) long long"
"vpx_lpf_horizontal_16_avx2","_mm_unpacklo_epi8","/src/libvpx/vpx_dsp/x86/loopfilter_avx2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",19,363,4635,4635,"vpx_lpf_horizontal_16_avx2(uint8_t *, unsigned char *, int, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *) -> void","uint8_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh","void","void","_mm_unpacklo_epi8(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_lpf_horizontal_16_avx2","_mm_storel_epi64","/src/libvpx/vpx_dsp/x86/loopfilter_avx2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",19,363,4127,4127,"vpx_lpf_horizontal_16_avx2(uint8_t *, unsigned char *, int, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *) -> void","uint8_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh","void","void","_mm_storel_epi64(__m128i_u *, __m128i) -> void","__m128i_u * __p, __m128i __a","void","void"
"vpx_lpf_horizontal_16_avx2","_mm_loadl_epi64","/src/libvpx/vpx_dsp/x86/loopfilter_avx2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",19,363,3573,3573,"vpx_lpf_horizontal_16_avx2(uint8_t *, unsigned char *, int, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *) -> void","uint8_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh","void","void","_mm_loadl_epi64(const __m128i_u *) -> __m128i","const __m128i_u * __p","__m128i","__attribute((vector_size(16))) long long"
"vpx_lpf_horizontal_16_avx2","_mm_unpackhi_epi8","/src/libvpx/vpx_dsp/x86/loopfilter_avx2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",19,363,4529,4529,"vpx_lpf_horizontal_16_avx2(uint8_t *, unsigned char *, int, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *, const uint8_t *, const unsigned char *) -> void","uint8_t * s, int pitch, const uint8_t * blimit, const uint8_t * limit, const uint8_t * thresh","void","void","_mm_unpackhi_epi8(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
