"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"spv32_xb_y4","_mm256_loadu_si256","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/usr/local/lib/clang/15.0.0/include/avxintrin.h",484,529,3159,3159,"spv32_xb_y4(const uint8_t *, int, const uint8_t *, int, const uint8_t *, int, int, int, __m256i *, __m256i *, int) -> void","const uint8_t * src, int src_stride, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, __m256i * sum_reg, __m256i * sse_reg, int x_offset","void","void","_mm256_loadu_si256(const __m256i_u *) -> __m256i","const __m256i_u * __p","__m256i","__attribute((vector_size(32))) long long"
"spv32_xb_y4","_mm256_setzero_si256","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/usr/local/lib/clang/15.0.0/include/avxintrin.h",484,529,4281,4281,"spv32_xb_y4(const uint8_t *, int, const uint8_t *, int, const uint8_t *, int, int, int, __m256i *, __m256i *, int) -> void","const uint8_t * src, int src_stride, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, __m256i * sum_reg, __m256i * sse_reg, int x_offset","void","void","_mm256_setzero_si256() -> __m256i","","__m256i","__attribute((vector_size(32))) long long"
"spv32_xb_y4","_mm256_set1_epi16","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/usr/local/lib/clang/15.0.0/include/avxintrin.h",484,529,4200,4200,"spv32_xb_y4(const uint8_t *, int, const uint8_t *, int, const uint8_t *, int, int, int, __m256i *, __m256i *, int) -> void","const uint8_t * src, int src_stride, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, __m256i * sum_reg, __m256i * sse_reg, int x_offset","void","void","_mm256_set1_epi16(short) -> __m256i","short __w","__m256i","__attribute((vector_size(32))) long long"
"spv32_xb_y4","_mm256_load_si256","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/usr/local/lib/clang/15.0.0/include/avxintrin.h",484,529,3143,3143,"spv32_xb_y4(const uint8_t *, int, const uint8_t *, int, const uint8_t *, int, int, int, __m256i *, __m256i *, int) -> void","const uint8_t * src, int src_stride, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, __m256i * sum_reg, __m256i * sse_reg, int x_offset","void","void","_mm256_load_si256(const __m256i *) -> __m256i","const __m256i * __p","__m256i","__attribute((vector_size(32))) long long"
"spv32_xb_y4","_mm256_unpacklo_epi8","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/usr/local/lib/clang/15.0.0/include/avx2intrin.h",484,529,677,677,"spv32_xb_y4(const uint8_t *, int, const uint8_t *, int, const uint8_t *, int, int, int, __m256i *, __m256i *, int) -> void","const uint8_t * src, int src_stride, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, __m256i * sum_reg, __m256i * sse_reg, int x_offset","void","void","_mm256_unpacklo_epi8(__m256i, __m256i) -> __m256i","__m256i __a, __m256i __b","__m256i","__attribute((vector_size(32))) long long"
"spv32_xb_y4","_mm256_unpackhi_epi8","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/usr/local/lib/clang/15.0.0/include/avx2intrin.h",484,529,653,653,"spv32_xb_y4(const uint8_t *, int, const uint8_t *, int, const uint8_t *, int, int, int, __m256i *, __m256i *, int) -> void","const uint8_t * src, int src_stride, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, __m256i * sum_reg, __m256i * sse_reg, int x_offset","void","void","_mm256_unpackhi_epi8(__m256i, __m256i) -> __m256i","__m256i __a, __m256i __b","__m256i","__attribute((vector_size(32))) long long"
"spv32_xb_y4","_mm256_sub_epi16","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/usr/local/lib/clang/15.0.0/include/avx2intrin.h",484,529,611,611,"spv32_xb_y4(const uint8_t *, int, const uint8_t *, int, const uint8_t *, int, int, int, __m256i *, __m256i *, int) -> void","const uint8_t * src, int src_stride, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, __m256i * sum_reg, __m256i * sse_reg, int x_offset","void","void","_mm256_sub_epi16(__m256i, __m256i) -> __m256i","__m256i __a, __m256i __b","__m256i","__attribute((vector_size(32))) long long"
"spv32_xb_y4","_mm256_srai_epi16","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/usr/local/lib/clang/15.0.0/include/avx2intrin.h",484,529,539,539,"spv32_xb_y4(const uint8_t *, int, const uint8_t *, int, const uint8_t *, int, int, int, __m256i *, __m256i *, int) -> void","const uint8_t * src, int src_stride, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, __m256i * sum_reg, __m256i * sse_reg, int x_offset","void","void","_mm256_srai_epi16(__m256i, int) -> __m256i","__m256i __a, int __count","__m256i","__attribute((vector_size(32))) long long"
"spv32_xb_y4","_mm256_madd_epi16","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/usr/local/lib/clang/15.0.0/include/avx2intrin.h",484,529,248,248,"spv32_xb_y4(const uint8_t *, int, const uint8_t *, int, const uint8_t *, int, int, int, __m256i *, __m256i *, int) -> void","const uint8_t * src, int src_stride, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, __m256i * sum_reg, __m256i * sse_reg, int x_offset","void","void","_mm256_madd_epi16(__m256i, __m256i) -> __m256i","__m256i __a, __m256i __b","__m256i","__attribute((vector_size(32))) long long"
"spv32_xb_y4","_mm256_maddubs_epi16","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/usr/local/lib/clang/15.0.0/include/avx2intrin.h",484,529,242,242,"spv32_xb_y4(const uint8_t *, int, const uint8_t *, int, const uint8_t *, int, int, int, __m256i *, __m256i *, int) -> void","const uint8_t * src, int src_stride, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, __m256i * sum_reg, __m256i * sse_reg, int x_offset","void","void","_mm256_maddubs_epi16(__m256i, __m256i) -> __m256i","__m256i __a, __m256i __b","__m256i","__attribute((vector_size(32))) long long"
