"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"sub_pix_var32xh","_mm_cvtsi128_si32","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",590,641,3500,3500,"sub_pix_var32xh(const uint8_t *, int, int, int, const uint8_t *, int, const uint8_t *, int, int, int, unsigned int *) -> int","const uint8_t * src, int src_stride, int x_offset, int y_offset, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, unsigned int * sse","int","int","_mm_cvtsi128_si32(__m128i) -> int","__m128i __a","int","int"
"sub_pix_var32xh","_mm256_castsi256_si128","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/usr/local/lib/clang/15.0.0/include/avxintrin.h",590,641,4434,4434,"sub_pix_var32xh(const uint8_t *, int, int, int, const uint8_t *, int, const uint8_t *, int, int, int, unsigned int *) -> int","const uint8_t * src, int src_stride, int x_offset, int y_offset, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, unsigned int * sse","int","int","_mm256_castsi256_si128(__m256i) -> __m128i","__m256i __a","__m128i","__attribute((vector_size(16))) long long"
"sub_pix_var32xh","__builtin_ia32_vextractf128_si256","/src/libvpx/vpx_dsp/x86/variance_avx2.c","",590,641,0,0,"sub_pix_var32xh(const uint8_t *, int, int, int, const uint8_t *, int, const uint8_t *, int, int, int, unsigned int *) -> int","const uint8_t * src, int src_stride, int x_offset, int y_offset, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, unsigned int * sse","int","int","__builtin_ia32_vextractf128_si256(__attribute((vector_size(32))) int, int) -> __attribute((vector_size(16))) int","__attribute((vector_size(32))) int (unnamed parameter 0), int (unnamed parameter 1)","__attribute((vector_size(16))) int","__attribute((vector_size(16))) int"
"sub_pix_var32xh","_mm256_setzero_si256","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/usr/local/lib/clang/15.0.0/include/avxintrin.h",590,641,4281,4281,"sub_pix_var32xh(const uint8_t *, int, int, int, const uint8_t *, int, const uint8_t *, int, int, int, unsigned int *) -> int","const uint8_t * src, int src_stride, int x_offset, int y_offset, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, unsigned int * sse","int","int","_mm256_setzero_si256() -> __m256i","","__m256i","__attribute((vector_size(32))) long long"
"sub_pix_var32xh","_mm256_unpacklo_epi16","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/usr/local/lib/clang/15.0.0/include/avx2intrin.h",590,641,683,683,"sub_pix_var32xh(const uint8_t *, int, int, int, const uint8_t *, int, const uint8_t *, int, int, int, unsigned int *) -> int","const uint8_t * src, int src_stride, int x_offset, int y_offset, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, unsigned int * sse","int","int","_mm256_unpacklo_epi16(__m256i, __m256i) -> __m256i","__m256i __a, __m256i __b","__m256i","__attribute((vector_size(32))) long long"
"sub_pix_var32xh","_mm256_unpackhi_epi16","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/usr/local/lib/clang/15.0.0/include/avx2intrin.h",590,641,659,659,"sub_pix_var32xh(const uint8_t *, int, int, int, const uint8_t *, int, const uint8_t *, int, int, int, unsigned int *) -> int","const uint8_t * src, int src_stride, int x_offset, int y_offset, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, unsigned int * sse","int","int","_mm256_unpackhi_epi16(__m256i, __m256i) -> __m256i","__m256i __a, __m256i __b","__m256i","__attribute((vector_size(32))) long long"
"sub_pix_var32xh","_mm256_cmpgt_epi16","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/usr/local/lib/clang/15.0.0/include/avx2intrin.h",590,641,188,188,"sub_pix_var32xh(const uint8_t *, int, int, int, const uint8_t *, int, const uint8_t *, int, int, int, unsigned int *) -> int","const uint8_t * src, int src_stride, int x_offset, int y_offset, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, unsigned int * sse","int","int","_mm256_cmpgt_epi16(__m256i, __m256i) -> __m256i","__m256i __a, __m256i __b","__m256i","__attribute((vector_size(32))) long long"
"sub_pix_var32xh","_mm256_add_epi32","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/usr/local/lib/clang/15.0.0/include/avx2intrin.h",590,641,81,81,"sub_pix_var32xh(const uint8_t *, int, int, int, const uint8_t *, int, const uint8_t *, int, int, int, unsigned int *) -> int","const uint8_t * src, int src_stride, int x_offset, int y_offset, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, unsigned int * sse","int","int","_mm256_add_epi32(__m256i, __m256i) -> __m256i","__m256i __a, __m256i __b","__m256i","__attribute((vector_size(32))) long long"
"sub_pix_var32xh","spv32_x0_y0","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/src/libvpx/vpx_dsp/x86/variance_avx2.c",590,641,275,275,"sub_pix_var32xh(const uint8_t *, int, int, int, const uint8_t *, int, const uint8_t *, int, int, int, unsigned int *) -> int","const uint8_t * src, int src_stride, int x_offset, int y_offset, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, unsigned int * sse","int","int","spv32_x0_y0(const uint8_t *, int, const uint8_t *, int, const uint8_t *, int, int, int, __m256i *, __m256i *) -> void","const uint8_t * src, int src_stride, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, __m256i * sum_reg, __m256i * sse_reg","void","void"
"sub_pix_var32xh","spv32_x0_y4","/src/libvpx/vpx_dsp/x86/variance_avx2.c","/src/libvpx/vpx_dsp/x86/variance_avx2.c",590,641,333,333,"sub_pix_var32xh(const uint8_t *, int, int, int, const uint8_t *, int, const uint8_t *, int, int, int, unsigned int *) -> int","const uint8_t * src, int src_stride, int x_offset, int y_offset, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, unsigned int * sse","int","int","spv32_x0_y4(const uint8_t *, int, const uint8_t *, int, const uint8_t *, int, int, int, __m256i *, __m256i *) -> void","const uint8_t * src, int src_stride, const uint8_t * dst, int dst_stride, const uint8_t * second_pred, int second_stride, int do_sec, int height, __m256i * sum_reg, __m256i * sse_reg","void","void"
