"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"vpx_highbd_filter_block1d4_h4_sse2","__builtin_ia32_psrldqi128_byteshift","/src/libvpx/vpx_dsp/x86/vpx_subpixel_4t_intrin_sse2.c","",608,665,0,0,"vpx_highbd_filter_block1d4_h4_sse2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","__builtin_ia32_psrldqi128_byteshift(__attribute((vector_size(16))) long long, int) -> __attribute((vector_size(16))) long long","__attribute((vector_size(16))) long long (unnamed parameter 0), int (unnamed parameter 1)","__attribute((vector_size(16))) long long","__attribute((vector_size(16))) long long"
"vpx_highbd_filter_block1d4_h4_sse2","_mm_set1_epi16","/src/libvpx/vpx_dsp/x86/vpx_subpixel_4t_intrin_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",608,665,3827,3827,"vpx_highbd_filter_block1d4_h4_sse2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm_set1_epi16(short) -> __m128i","short __w","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_filter_block1d4_h4_sse2","_mm_loadu_si128","/src/libvpx/vpx_dsp/x86/vpx_subpixel_4t_intrin_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",608,665,3552,3552,"vpx_highbd_filter_block1d4_h4_sse2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm_loadu_si128(const __m128i_u *) -> __m128i","const __m128i_u * __p","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_filter_block1d4_h4_sse2","_mm_setzero_si128","/src/libvpx/vpx_dsp/x86/vpx_subpixel_4t_intrin_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",608,665,3981,3981,"vpx_highbd_filter_block1d4_h4_sse2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm_setzero_si128() -> __m128i","","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_filter_block1d4_h4_sse2","_mm_storel_epi64","/src/libvpx/vpx_dsp/x86/vpx_subpixel_4t_intrin_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",608,665,4127,4127,"vpx_highbd_filter_block1d4_h4_sse2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm_storel_epi64(__m128i_u *, __m128i) -> void","__m128i_u * __p, __m128i __a","void","void"
"vpx_highbd_filter_block1d4_h4_sse2","_mm_unpacklo_epi32","/src/libvpx/vpx_dsp/x86/vpx_subpixel_4t_intrin_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",608,665,4686,4686,"vpx_highbd_filter_block1d4_h4_sse2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm_unpacklo_epi32(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_filter_block1d4_h4_sse2","_mm_set1_epi32","/src/libvpx/vpx_dsp/x86/vpx_subpixel_4t_intrin_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",608,665,3808,3808,"vpx_highbd_filter_block1d4_h4_sse2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm_set1_epi32(int) -> __m128i","int __i","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_filter_block1d4_h4_sse2","_mm_packs_epi32","/src/libvpx/vpx_dsp/x86/vpx_subpixel_4t_intrin_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",608,665,4307,4307,"vpx_highbd_filter_block1d4_h4_sse2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm_packs_epi32(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_filter_block1d4_h4_sse2","_mm_max_epi16","/src/libvpx/vpx_dsp/x86/vpx_subpixel_4t_intrin_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",608,665,2376,2376,"vpx_highbd_filter_block1d4_h4_sse2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm_max_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_highbd_filter_block1d4_h4_sse2","_mm_min_epi16","/src/libvpx/vpx_dsp/x86/vpx_subpixel_4t_intrin_sse2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",608,665,2416,2416,"vpx_highbd_filter_block1d4_h4_sse2(const uint16_t *, ptrdiff_t, uint16_t *, ptrdiff_t, uint32_t, const int16_t *, int) -> void","const uint16_t * src_ptr, ptrdiff_t src_stride, uint16_t * dst_ptr, ptrdiff_t dst_stride, uint32_t height, const int16_t * kernel, int bd","void","void","_mm_min_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
