"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"vpx_filter_block1d16_h8_x_avx2","_mm_load_si128","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_avx2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",66,153,3536,3536,"vpx_filter_block1d16_h8_x_avx2(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *, const int) -> void","const uint8_t * src_ptr, ptrdiff_t src_pixels_per_line, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter, const int avg","void","void","_mm_load_si128(const __m128i *) -> __m128i","const __m128i * __p","__m128i","__attribute((vector_size(16))) long long"
"vpx_filter_block1d16_h8_x_avx2","_mm_packus_epi16","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_avx2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",66,153,4335,4335,"vpx_filter_block1d16_h8_x_avx2(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *, const int) -> void","const uint8_t * src_ptr, ptrdiff_t src_pixels_per_line, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter, const int avg","void","void","_mm_packus_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_filter_block1d16_h8_x_avx2","_mm_loadu_si128","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_avx2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",66,153,3552,3552,"vpx_filter_block1d16_h8_x_avx2(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *, const int) -> void","const uint8_t * src_ptr, ptrdiff_t src_pixels_per_line, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter, const int avg","void","void","_mm_loadu_si128(const __m128i_u *) -> __m128i","const __m128i_u * __p","__m128i","__attribute((vector_size(16))) long long"
"vpx_filter_block1d16_h8_x_avx2","_mm_store_si128","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_avx2.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",66,153,3999,3999,"vpx_filter_block1d16_h8_x_avx2(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *, const int) -> void","const uint8_t * src_ptr, ptrdiff_t src_pixels_per_line, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter, const int avg","void","void","_mm_store_si128(__m128i *, __m128i) -> void","__m128i * __p, __m128i __b","void","void"
"vpx_filter_block1d16_h8_x_avx2","_mm256_castsi256_si128","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_avx2.c","/usr/local/lib/clang/15.0.0/include/avxintrin.h",66,153,4434,4434,"vpx_filter_block1d16_h8_x_avx2(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *, const int) -> void","const uint8_t * src_ptr, ptrdiff_t src_pixels_per_line, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter, const int avg","void","void","_mm256_castsi256_si128(__m256i) -> __m128i","__m256i __a","__m128i","__attribute((vector_size(16))) long long"
"vpx_filter_block1d16_h8_x_avx2","__builtin_ia32_vextractf128_si256","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_avx2.c","",66,153,0,0,"vpx_filter_block1d16_h8_x_avx2(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *, const int) -> void","const uint8_t * src_ptr, ptrdiff_t src_pixels_per_line, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter, const int avg","void","void","__builtin_ia32_vextractf128_si256(__attribute((vector_size(32))) int, int) -> __attribute((vector_size(16))) int","__attribute((vector_size(32))) int (unnamed parameter 0), int (unnamed parameter 1)","__attribute((vector_size(16))) int","__attribute((vector_size(16))) int"
"vpx_filter_block1d16_h8_x_avx2","_mm256_castsi128_si256","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_avx2.c","/usr/local/lib/clang/15.0.0/include/avxintrin.h",66,153,4495,4495,"vpx_filter_block1d16_h8_x_avx2(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *, const int) -> void","const uint8_t * src_ptr, ptrdiff_t src_pixels_per_line, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter, const int avg","void","void","_mm256_castsi128_si256(__m128i) -> __m256i","__m128i __a","__m256i","__attribute((vector_size(32))) long long"
"vpx_filter_block1d16_h8_x_avx2","_mm256_load_si256","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_avx2.c","/usr/local/lib/clang/15.0.0/include/avxintrin.h",66,153,3143,3143,"vpx_filter_block1d16_h8_x_avx2(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *, const int) -> void","const uint8_t * src_ptr, ptrdiff_t src_pixels_per_line, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter, const int avg","void","void","_mm256_load_si256(const __m256i *) -> __m256i","const __m256i * __p","__m256i","__attribute((vector_size(32))) long long"
"vpx_filter_block1d16_h8_x_avx2","_mm256_shuffle_epi8","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_avx2.c","/usr/local/lib/clang/15.0.0/include/avx2intrin.h",66,153,464,464,"vpx_filter_block1d16_h8_x_avx2(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *, const int) -> void","const uint8_t * src_ptr, ptrdiff_t src_pixels_per_line, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter, const int avg","void","void","_mm256_shuffle_epi8(__m256i, __m256i) -> __m256i","__m256i __a, __m256i __b","__m256i","__attribute((vector_size(32))) long long"
"vpx_filter_block1d16_h8_x_avx2","_mm256_avg_epu8","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_avx2.c","/usr/local/lib/clang/15.0.0/include/avx2intrin.h",66,153,133,133,"vpx_filter_block1d16_h8_x_avx2(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *, const int) -> void","const uint8_t * src_ptr, ptrdiff_t src_pixels_per_line, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter, const int avg","void","void","_mm256_avg_epu8(__m256i, __m256i) -> __m256i","__m256i __a, __m256i __b","__m256i","__attribute((vector_size(32))) long long"
