"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"vpx_filter_block1d4_h8_intrin_ssse3","_mm_packus_epi16","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_ssse3.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",52,114,4335,4335,"vpx_filter_block1d4_h8_intrin_ssse3(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *) -> void","const uint8_t * src_ptr, ptrdiff_t src_pitch, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter","void","void","_mm_packus_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_filter_block1d4_h8_intrin_ssse3","__builtin_ia32_psrldqi128_byteshift","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_ssse3.c","",52,114,0,0,"vpx_filter_block1d4_h8_intrin_ssse3(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *) -> void","const uint8_t * src_ptr, ptrdiff_t src_pitch, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter","void","void","__builtin_ia32_psrldqi128_byteshift(__attribute((vector_size(16))) long long, int) -> __attribute((vector_size(16))) long long","__attribute((vector_size(16))) long long (unnamed parameter 0), int (unnamed parameter 1)","__attribute((vector_size(16))) long long","__attribute((vector_size(16))) long long"
"vpx_filter_block1d4_h8_intrin_ssse3","_mm_loadu_si128","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_ssse3.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",52,114,3552,3552,"vpx_filter_block1d4_h8_intrin_ssse3(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *) -> void","const uint8_t * src_ptr, ptrdiff_t src_pitch, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter","void","void","_mm_loadu_si128(const __m128i_u *) -> __m128i","const __m128i_u * __p","__m128i","__attribute((vector_size(16))) long long"
"vpx_filter_block1d4_h8_intrin_ssse3","_mm_add_epi16","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_ssse3.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",52,114,2143,2143,"vpx_filter_block1d4_h8_intrin_ssse3(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *) -> void","const uint8_t * src_ptr, ptrdiff_t src_pitch, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter","void","void","_mm_add_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_filter_block1d4_h8_intrin_ssse3","_mm_srai_epi16","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_ssse3.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",52,114,2959,2959,"vpx_filter_block1d4_h8_intrin_ssse3(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *) -> void","const uint8_t * src_ptr, ptrdiff_t src_pitch, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter","void","void","_mm_srai_epi16(__m128i, int) -> __m128i","__m128i __a, int __count","__m128i","__attribute((vector_size(16))) long long"
"vpx_filter_block1d4_h8_intrin_ssse3","_mm_cvtsi128_si32","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_ssse3.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",52,114,3500,3500,"vpx_filter_block1d4_h8_intrin_ssse3(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *) -> void","const uint8_t * src_ptr, ptrdiff_t src_pitch, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter","void","void","_mm_cvtsi128_si32(__m128i) -> int","__m128i __a","int","int"
"vpx_filter_block1d4_h8_intrin_ssse3","_mm_set1_epi32","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_ssse3.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",52,114,3808,3808,"vpx_filter_block1d4_h8_intrin_ssse3(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *) -> void","const uint8_t * src_ptr, ptrdiff_t src_pitch, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter","void","void","_mm_set1_epi32(int) -> __m128i","int __i","__m128i","__attribute((vector_size(16))) long long"
"vpx_filter_block1d4_h8_intrin_ssse3","_mm_adds_epi16","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_ssse3.c","/usr/local/lib/clang/15.0.0/include/emmintrin.h",52,114,2248,2248,"vpx_filter_block1d4_h8_intrin_ssse3(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *) -> void","const uint8_t * src_ptr, ptrdiff_t src_pitch, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter","void","void","_mm_adds_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_filter_block1d4_h8_intrin_ssse3","_mm_maddubs_epi16","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_ssse3.c","/usr/local/lib/clang/15.0.0/include/tmmintrin.h",52,114,490,490,"vpx_filter_block1d4_h8_intrin_ssse3(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *) -> void","const uint8_t * src_ptr, ptrdiff_t src_pitch, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter","void","void","_mm_maddubs_epi16(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
"vpx_filter_block1d4_h8_intrin_ssse3","_mm_shuffle_epi8","/src/libvpx/vpx_dsp/x86/vpx_subpixel_8t_intrin_ssse3.c","/usr/local/lib/clang/15.0.0/include/tmmintrin.h",52,114,586,586,"vpx_filter_block1d4_h8_intrin_ssse3(const uint8_t *, ptrdiff_t, uint8_t *, ptrdiff_t, uint32_t, const int16_t *) -> void","const uint8_t * src_ptr, ptrdiff_t src_pitch, uint8_t * output_ptr, ptrdiff_t output_pitch, uint32_t output_height, const int16_t * filter","void","void","_mm_shuffle_epi8(__m128i, __m128i) -> __m128i","__m128i __a, __m128i __b","__m128i","__attribute((vector_size(16))) long long"
