"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"crc32","crc32_z","/src/zlib/crc32.c","/src/zlib/crc32.c",1016,1018,694,694,"crc32(uLong, unsigned long, const Bytef *, const unsigned char *, uInt) -> uLong","uLong crc, const Bytef * buf, uInt len","unsigned long","unsigned long","crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> uLong","uLong crc, const Bytef * buf, z_size_t len","unsigned long","unsigned long"
"crc32","crc32_z","/src/zlib/crc32.c","/src/zlib/crc32.c",1016,1018,694,694,"crc32(uLong, unsigned long, const Bytef *, const unsigned char *, uInt) -> uLong","uLong crc, const Bytef * buf, uInt len","unsigned long","unsigned long","crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> uLong","uLong crc, const Bytef * buf, z_size_t len","uLong","unsigned long"
"crc32","crc32_z","/src/zlib/crc32.c","/src/zlib/crc32.c",1016,1018,694,694,"crc32(uLong, unsigned long, const Bytef *, const unsigned char *, uInt) -> uLong","uLong crc, const Bytef * buf, uInt len","unsigned long","unsigned long","crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> unsigned long","uLong crc, const Bytef * buf, z_size_t len","unsigned long","unsigned long"
"crc32","crc32_z","/src/zlib/crc32.c","/src/zlib/crc32.c",1016,1018,694,694,"crc32(uLong, unsigned long, const Bytef *, const unsigned char *, uInt) -> uLong","uLong crc, const Bytef * buf, uInt len","unsigned long","unsigned long","crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> unsigned long","uLong crc, const Bytef * buf, z_size_t len","uLong","unsigned long"
"crc32","crc32_z","/src/zlib/crc32.c","/src/zlib/crc32.c",1016,1018,694,694,"crc32(uLong, unsigned long, const Bytef *, const unsigned char *, uInt) -> uLong","uLong crc, const Bytef * buf, uInt len","uLong","unsigned long","crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> uLong","uLong crc, const Bytef * buf, z_size_t len","unsigned long","unsigned long"
"crc32","crc32_z","/src/zlib/crc32.c","/src/zlib/crc32.c",1016,1018,694,694,"crc32(uLong, unsigned long, const Bytef *, const unsigned char *, uInt) -> uLong","uLong crc, const Bytef * buf, uInt len","uLong","unsigned long","crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> uLong","uLong crc, const Bytef * buf, z_size_t len","uLong","unsigned long"
"crc32","crc32_z","/src/zlib/crc32.c","/src/zlib/crc32.c",1016,1018,694,694,"crc32(uLong, unsigned long, const Bytef *, const unsigned char *, uInt) -> uLong","uLong crc, const Bytef * buf, uInt len","uLong","unsigned long","crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> unsigned long","uLong crc, const Bytef * buf, z_size_t len","unsigned long","unsigned long"
"crc32","crc32_z","/src/zlib/crc32.c","/src/zlib/crc32.c",1016,1018,694,694,"crc32(uLong, unsigned long, const Bytef *, const unsigned char *, uInt) -> uLong","uLong crc, const Bytef * buf, uInt len","uLong","unsigned long","crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> unsigned long","uLong crc, const Bytef * buf, z_size_t len","uLong","unsigned long"
"crc32","crc32_z","/src/zlib/crc32.c","/src/zlib/crc32.c",1016,1018,694,694,"crc32(uLong, unsigned long, const Bytef *, const unsigned char *, uInt) -> unsigned long","uLong crc, const Bytef * buf, uInt len","unsigned long","unsigned long","crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> uLong","uLong crc, const Bytef * buf, z_size_t len","unsigned long","unsigned long"
"crc32","crc32_z","/src/zlib/crc32.c","/src/zlib/crc32.c",1016,1018,694,694,"crc32(uLong, unsigned long, const Bytef *, const unsigned char *, uInt) -> unsigned long","uLong crc, const Bytef * buf, uInt len","unsigned long","unsigned long","crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> uLong","uLong crc, const Bytef * buf, z_size_t len","uLong","unsigned long"
