"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"crc32_z","crc_word","/src/zlib/crc32.c","/src/zlib/crc32.c",695,1010,676,676,"crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> uLong","uLong crc, const Bytef * buf, z_size_t len","unsigned long","unsigned long","crc_word(z_word_t) -> z_crc_t","z_word_t data","z_crc_t","unsigned int"
"crc32_z","crc_word","/src/zlib/crc32.c","/src/zlib/crc32.c",695,1010,676,676,"crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> uLong","uLong crc, const Bytef * buf, z_size_t len","uLong","unsigned long","crc_word(z_word_t) -> z_crc_t","z_word_t data","z_crc_t","unsigned int"
"crc32_z","crc_word","/src/zlib/crc32.c","/src/zlib/crc32.c",695,1010,676,676,"crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> unsigned long","uLong crc, const Bytef * buf, z_size_t len","unsigned long","unsigned long","crc_word(z_word_t) -> z_crc_t","z_word_t data","z_crc_t","unsigned int"
"crc32_z","crc_word","/src/zlib/crc32.c","/src/zlib/crc32.c",695,1010,676,676,"crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> unsigned long","uLong crc, const Bytef * buf, z_size_t len","uLong","unsigned long","crc_word(z_word_t) -> z_crc_t","z_word_t data","z_crc_t","unsigned int"
"crc32_z","byte_swap","/src/zlib/crc32.c","/src/zlib/crc32.c",695,1010,113,113,"crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> uLong","uLong crc, const Bytef * buf, z_size_t len","unsigned long","unsigned long","byte_swap(z_word_t) -> z_word_t","z_word_t word","z_word_t","unsigned long"
"crc32_z","byte_swap","/src/zlib/crc32.c","/src/zlib/crc32.c",695,1010,113,113,"crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> uLong","uLong crc, const Bytef * buf, z_size_t len","uLong","unsigned long","byte_swap(z_word_t) -> z_word_t","z_word_t word","z_word_t","unsigned long"
"crc32_z","byte_swap","/src/zlib/crc32.c","/src/zlib/crc32.c",695,1010,113,113,"crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> unsigned long","uLong crc, const Bytef * buf, z_size_t len","unsigned long","unsigned long","byte_swap(z_word_t) -> z_word_t","z_word_t word","z_word_t","unsigned long"
"crc32_z","byte_swap","/src/zlib/crc32.c","/src/zlib/crc32.c",695,1010,113,113,"crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> unsigned long","uLong crc, const Bytef * buf, z_size_t len","uLong","unsigned long","byte_swap(z_word_t) -> z_word_t","z_word_t word","z_word_t","unsigned long"
"crc32_z","crc_word_big","/src/zlib/crc32.c","/src/zlib/crc32.c",695,1010,683,683,"crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> uLong","uLong crc, const Bytef * buf, z_size_t len","unsigned long","unsigned long","crc_word_big(z_word_t) -> z_word_t","z_word_t data","z_word_t","unsigned long"
"crc32_z","crc_word_big","/src/zlib/crc32.c","/src/zlib/crc32.c",695,1010,683,683,"crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> uLong","uLong crc, const Bytef * buf, z_size_t len","uLong","unsigned long","crc_word_big(z_word_t) -> z_word_t","z_word_t data","z_word_t","unsigned long"
"crc32_z","crc_word_big","/src/zlib/crc32.c","/src/zlib/crc32.c",695,1010,683,683,"crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> unsigned long","uLong crc, const Bytef * buf, z_size_t len","unsigned long","unsigned long","crc_word_big(z_word_t) -> z_word_t","z_word_t data","z_word_t","unsigned long"
"crc32_z","crc_word_big","/src/zlib/crc32.c","/src/zlib/crc32.c",695,1010,683,683,"crc32_z(uLong, unsigned long, const Bytef *, const unsigned char *, z_size_t) -> unsigned long","uLong crc, const Bytef * buf, z_size_t len","uLong","unsigned long","crc_word_big(z_word_t) -> z_word_t","z_word_t data","z_word_t","unsigned long"
