"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"main","calloc","/src/zlib/test/example.c","/usr/include/stdlib.h",497,552,42,42,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","calloc(size_t, size_t) -> void *","size_t __nmemb, size_t __size","void *","void *"
"main","calloc","/src/zlib/test/example.c","/usr/include/stdlib.h",497,552,542,542,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","calloc(size_t, size_t) -> void *","size_t __nmemb, size_t __size","void *","void *"
"main","calloc","/src/zlib/test/example.c","/usr/include/malloc.h",497,552,42,42,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","calloc(size_t, size_t) -> void *","size_t __nmemb, size_t __size","void *","void *"
"main","calloc","/src/zlib/test/example.c","/usr/include/malloc.h",497,552,542,542,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","calloc(size_t, size_t) -> void *","size_t __nmemb, size_t __size","void *","void *"
"main","calloc","/src/zlib/test/example.c","/usr/include/stdlib.h",497,552,42,42,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","calloc(size_t, size_t) -> void *","size_t __nmemb, size_t __size","void *","void *"
"main","calloc","/src/zlib/test/example.c","/usr/include/stdlib.h",497,552,542,542,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","calloc(size_t, size_t) -> void *","size_t __nmemb, size_t __size","void *","void *"
"main","calloc","/src/zlib/test/example.c","/usr/include/malloc.h",497,552,42,42,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","calloc(size_t, size_t) -> void *","size_t __nmemb, size_t __size","void *","void *"
"main","calloc","/src/zlib/test/example.c","/usr/include/malloc.h",497,552,542,542,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","calloc(size_t, size_t) -> void *","size_t __nmemb, size_t __size","void *","void *"
"main","free","/src/zlib/test/example.c","/usr/include/stdlib.h",497,552,62,62,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","free(void *) -> void","void * __ptr","void","void"
"main","free","/src/zlib/test/example.c","/usr/include/stdlib.h",497,552,565,565,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","free(void *) -> void","void * __ptr","void","void"
"main","free","/src/zlib/test/example.c","/usr/include/malloc.h",497,552,62,62,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","free(void *) -> void","void * __ptr","void","void"
"main","free","/src/zlib/test/example.c","/usr/include/malloc.h",497,552,565,565,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","free(void *) -> void","void * __ptr","void","void"
"main","free","/src/zlib/test/example.c","/usr/include/stdlib.h",497,552,62,62,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","free(void *) -> void","void * __ptr","void","void"
"main","free","/src/zlib/test/example.c","/usr/include/stdlib.h",497,552,565,565,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","free(void *) -> void","void * __ptr","void","void"
"main","free","/src/zlib/test/example.c","/usr/include/malloc.h",497,552,62,62,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","free(void *) -> void","void * __ptr","void","void"
"main","free","/src/zlib/test/example.c","/usr/include/malloc.h",497,552,565,565,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","free(void *) -> void","void * __ptr","void","void"
"main","fprintf","/src/zlib/test/example.c","/usr/include/stdio.h",497,552,326,326,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __format","int","int"
"main","printf","/src/zlib/test/example.c","/usr/include/stdio.h",497,552,332,332,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","printf(const char *__restrict__) -> int","const char *__restrict__ __format","int","int"
"main","exit","/src/zlib/test/example.c","/usr/include/stdlib.h",497,552,617,617,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","exit(int) -> void","int __status","void","void"
"main","strcmp","/src/zlib/test/example.c","/usr/include/string.h",497,552,137,137,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","strcmp(const char *, const char *) -> int","const char * __s1, const char * __s2","int","int"
"main","zlibCompileFlags","/src/zlib/test/example.c","/src/zlib/zutil.c",497,552,31,31,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","zlibCompileFlags() -> uLong","","uLong","unsigned long"
"main","zlibVersion","/src/zlib/test/example.c","/src/zlib/zutil.c",497,552,27,27,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","zlibVersion() -> const char *","","const char *","char *"
"main","test_compress","/src/zlib/test/example.c","/src/zlib/test/example.c",497,552,66,66,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","test_compress(Byte *, uLong, Byte *, uLong) -> void","Byte * compr, uLong comprLen, Byte * uncompr, uLong uncomprLen","void","void"
"main","test_gzio","/src/zlib/test/example.c","/src/zlib/test/example.c",497,552,90,90,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","test_gzio(const char *, Byte *, uLong) -> void","const char * fname, Byte * uncompr, uLong uncomprLen","void","void"
"main","test_deflate","/src/zlib/test/example.c","/src/zlib/test/example.c",497,552,172,172,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","test_deflate(Byte *, uLong) -> void","Byte * compr, uLong comprLen","void","void"
"main","test_inflate","/src/zlib/test/example.c","/src/zlib/test/example.c",497,552,207,207,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","test_inflate(Byte *, uLong, Byte *, uLong) -> void","Byte * compr, uLong comprLen, Byte * uncompr, uLong uncomprLen","void","void"
