"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"gz_init","free","/src/zlib/gzwrite.c","/usr/include/stdlib.h",11,57,62,62,"gz_init(gz_statep) -> int","gz_statep state","int","int","free(void *) -> void","void * __ptr","void","void"
"gz_init","free","/src/zlib/gzwrite.c","/usr/include/stdlib.h",11,57,565,565,"gz_init(gz_statep) -> int","gz_statep state","int","int","free(void *) -> void","void * __ptr","void","void"
"gz_init","free","/src/zlib/gzwrite.c","/usr/include/malloc.h",11,57,62,62,"gz_init(gz_statep) -> int","gz_statep state","int","int","free(void *) -> void","void * __ptr","void","void"
"gz_init","free","/src/zlib/gzwrite.c","/usr/include/malloc.h",11,57,565,565,"gz_init(gz_statep) -> int","gz_statep state","int","int","free(void *) -> void","void * __ptr","void","void"
"gz_init","free","/src/zlib/gzwrite.c","/usr/include/stdlib.h",11,57,62,62,"gz_init(gz_statep) -> int","gz_statep state","int","int","free(void *) -> void","void * __ptr","void","void"
"gz_init","free","/src/zlib/gzwrite.c","/usr/include/stdlib.h",11,57,565,565,"gz_init(gz_statep) -> int","gz_statep state","int","int","free(void *) -> void","void * __ptr","void","void"
"gz_init","free","/src/zlib/gzwrite.c","/usr/include/malloc.h",11,57,62,62,"gz_init(gz_statep) -> int","gz_statep state","int","int","free(void *) -> void","void * __ptr","void","void"
"gz_init","free","/src/zlib/gzwrite.c","/usr/include/malloc.h",11,57,565,565,"gz_init(gz_statep) -> int","gz_statep state","int","int","free(void *) -> void","void * __ptr","void","void"
"gz_init","malloc","/src/zlib/gzwrite.c","/usr/include/stdlib.h",11,57,38,38,"gz_init(gz_statep) -> int","gz_statep state","int","int","malloc(size_t) -> void *","size_t __size","void *","void *"
"gz_init","malloc","/src/zlib/gzwrite.c","/usr/include/stdlib.h",11,57,539,539,"gz_init(gz_statep) -> int","gz_statep state","int","int","malloc(size_t) -> void *","size_t __size","void *","void *"
"gz_init","malloc","/src/zlib/gzwrite.c","/usr/include/malloc.h",11,57,38,38,"gz_init(gz_statep) -> int","gz_statep state","int","int","malloc(size_t) -> void *","size_t __size","void *","void *"
"gz_init","malloc","/src/zlib/gzwrite.c","/usr/include/malloc.h",11,57,539,539,"gz_init(gz_statep) -> int","gz_statep state","int","int","malloc(size_t) -> void *","size_t __size","void *","void *"
"gz_init","malloc","/src/zlib/gzwrite.c","/usr/include/stdlib.h",11,57,38,38,"gz_init(gz_statep) -> int","gz_statep state","int","int","malloc(size_t) -> void *","size_t __size","void *","void *"
"gz_init","malloc","/src/zlib/gzwrite.c","/usr/include/stdlib.h",11,57,539,539,"gz_init(gz_statep) -> int","gz_statep state","int","int","malloc(size_t) -> void *","size_t __size","void *","void *"
"gz_init","malloc","/src/zlib/gzwrite.c","/usr/include/malloc.h",11,57,38,38,"gz_init(gz_statep) -> int","gz_statep state","int","int","malloc(size_t) -> void *","size_t __size","void *","void *"
"gz_init","malloc","/src/zlib/gzwrite.c","/usr/include/malloc.h",11,57,539,539,"gz_init(gz_statep) -> int","gz_statep state","int","int","malloc(size_t) -> void *","size_t __size","void *","void *"
"gz_init","deflateInit2_","/src/zlib/gzwrite.c","/src/zlib/deflate.c",11,57,379,379,"gz_init(gz_statep) -> int","gz_statep state","int","int","deflateInit2_(z_streamp, int, int, int, int, int, const char *, int) -> int","z_streamp strm, int level, int method, int windowBits, int memLevel, int strategy, const char * version, int stream_size","int","int"
"gz_init","gz_error","/src/zlib/gzwrite.c","/src/zlib/gzlib.c",11,57,532,532,"gz_init(gz_statep) -> int","gz_statep state","int","int","gz_error(gz_statep, int, const char *) -> void","gz_statep state, int err, const char * msg","void","void"
